config	inst	time	count	rfsz	best	spr	hv	gd	
GA	I0	285274	80	292	0.0068	0.5539	0.4992	0.0028	
GA	I0	241053	80	292	0.0377	0.5369	0.5040	0.0023	
GA	I0	213860	80	292	0.0205	0.6261	0.5027	0.0040	
GA	I0	214006	80	292	0.0171	0.5245	0.4970	0.0029	
GA	I0	213777	80	292	0.0445	0.5343	0.5044	0.0021	
GA	I0	211668	80	292	0.0342	0.5617	0.4984	0.0027	
GA	I0	204603	80	292	0.0171	0.5208	0.4954	0.0029	
GA	I0	205312	79	292	0.0205	0.5916	0.4963	0.0028	
GA	I0	206199	80	292	0.0137	0.5251	0.5003	0.0032	
GA	I0	204736	80	292	0.0171	0.5608	0.5050	0.0022	
GA	I0	204575	80	292	0.0171	0.6077	0.5041	0.0035	
GA	I0	206562	80	292	0.0171	0.6535	0.5024	0.0043	
GA	I0	204092	79	292	0.0103	0.5149	0.4944	0.0033	
GA	I0	205597	80	292	0.0274	0.5997	0.5022	0.0028	
GA	I0	205593	80	292	0.0308	0.5293	0.5000	0.0031	
GA	I0	205458	80	292	0.0103	0.6439	0.4997	0.0040	
GA	I0	205732	80	292	0.0103	0.5436	0.4937	0.0031	
GA	I0	206133	80	292	0.0103	0.5398	0.4936	0.0037	
GA	I0	205974	79	292	0.0240	0.5420	0.5046	0.0021	
GA	I0	205863	80	292	0.0205	0.5658	0.4999	0.0024	
GA	I0	205878	80	292	0.0103	0.5111	0.4972	0.0030	
GA	I0	205438	80	292	0.0171	0.6960	0.4972	0.0065	
GA	I0	205163	80	292	0.0137	0.5708	0.4975	0.0030	
GA	I0	206121	80	292	0.0205	0.5295	0.5043	0.0023	
GA	I0	206119	80	292	0.0171	0.6337	0.4960	0.0037	
GA	I0	206094	80	292	0.0445	0.6217	0.5028	0.0022	
GA	I0	206116	80	292	0.0137	0.5941	0.4996	0.0034	
GA	I0	206424	77	292	0.0137	0.6367	0.4976	0.0073	
GA	I0	204974	80	292	0.0171	0.5337	0.5018	0.0047	
GA	I0	206228	80	292	0.0240	0.5620	0.5015	0.0024	
GA	I0	204632	80	292	0.0240	0.5330	0.5048	0.0019	
GA	I0	205365	80	292	0.0205	0.5491	0.5007	0.0023	
GA	I0	206660	80	292	0.0308	0.5905	0.5026	0.0025	
GA	I0	204899	80	292	0.0137	0.5422	0.4973	0.0034	
GA	I0	205145	80	292	0.0068	0.6292	0.4995	0.0029	
GA	I0	207187	80	292	0.0103	0.6789	0.4955	0.0060	
GA	I0	205435	80	292	0.0205	0.5449	0.5034	0.0027	
GA	I0	204989	80	292	0.0171	0.5623	0.4908	0.0047	
GA	I0	204572	80	292	0.0308	0.5266	0.5011	0.0038	
GA	I0	204850	80	292	0.0068	0.6685	0.4970	0.0066	
GA	I0	205221	80	292	0.0137	0.5943	0.5008	0.0031	
GA	I0	206238	80	292	0.0205	0.6617	0.4963	0.0045	
GA	I0	206201	79	292	0.0171	0.6032	0.5002	0.0027	
GA	I0	206284	80	292	0.0240	0.5994	0.5002	0.0037	
GA	I0	205235	80	292	0.0068	0.5150	0.4981	0.0028	
GA	I0	205408	80	292	0.0137	0.5404	0.5025	0.0026	
GA	I0	205500	80	292	0.0034	0.5750	0.4976	0.0031	
GA	I0	205389	80	292	0.0171	0.5757	0.4995	0.0027	
GA	I0	205488	80	292	0.0616	0.5045	0.5116	0.0017	
GA	I0	206489	80	292	0.0240	0.5204	0.5007	0.0027	
MAR	I0	435	4	292	0.0068	0.7194	0.2303	0.1782	
SH	I0	316	9	292	0.0103	0.1194	0.3589	0.0457	
CPM	I0	323	2	292	0.0068	0.9485	0.0663	0.0000	
GA	I1	1205417	136	200	0.0250	0.6699	0.4442	0.0018	
GA	I1	1198086	129	200	0.0050	0.7164	0.4302	0.0029	
GA	I1	1208215	113	200	0.0100	0.6155	0.4443	0.0021	
GA	I1	1227712	125	200	0.0350	0.7343	0.4417	0.0021	
GA	I1	1203348	135	200	0.0100	0.7036	0.4376	0.0022	
GA	I1	1196044	157	200	0.0200	0.6915	0.4416	0.0021	
GA	I1	1198766	117	200	0.0050	0.6794	0.4375	0.0024	
GA	I1	1203352	134	200	0.0150	0.7081	0.4370	0.0021	
GA	I1	1195411	123	200	0.0250	0.6660	0.4394	0.0024	
GA	I1	1197375	136	200	0.0350	0.6549	0.4408	0.0021	
GA	I1	1195245	143	200	0.0150	0.6960	0.4383	0.0023	
GA	I1	1199606	137	200	0.0400	0.7362	0.4486	0.0020	
GA	I1	1201694	119	200	0.0150	0.6489	0.4432	0.0023	
GA	I1	1197168	124	200	0.0050	0.6832	0.4409	0.0021	
GA	I1	1197334	145	200	0.0250	0.6841	0.4456	0.0019	
GA	I1	1195405	143	200	0.0000	0.7227	0.4359	0.0022	
GA	I1	1199715	139	200	0.0100	0.6408	0.4403	0.0021	
GA	I1	1201011	132	200	0.0200	0.6476	0.4417	0.0019	
GA	I1	1201968	126	200	0.0300	0.6741	0.4411	0.0021	
GA	I1	1197976	147	200	0.0200	0.6736	0.4346	0.0023	
GA	I1	1199394	142	200	0.0300	0.6549	0.4402	0.0021	
GA	I1	977586	133	200	0.0200	0.6174	0.4402	0.0020	
GA	I1	920071	131	200	0.0150	0.6677	0.4379	0.0022	
GA	I1	921465	124	200	0.0250	0.6889	0.4396	0.0021	
GA	I1	918790	130	200	0.0100	0.6988	0.4374	0.0026	
GA	I1	920033	136	200	0.0400	0.6466	0.4429	0.0022	
GA	I1	921070	127	200	0.0150	0.7113	0.4396	0.0025	
GA	I1	919838	139	200	0.0250	0.7225	0.4339	0.0025	
GA	I1	920839	131	200	0.0250	0.6508	0.4370	0.0020	
GA	I1	921235	120	200	0.0150	0.7130	0.4390	0.0023	
GA	I1	922671	130	200	0.0100	0.6340	0.4363	0.0022	
GA	I1	925403	135	200	0.0100	0.6853	0.4337	0.0024	
GA	I1	925810	139	200	0.0050	0.6565	0.4361	0.0023	
GA	I1	927570	139	200	0.0200	0.6781	0.4440	0.0020	
GA	I1	923084	141	200	0.0150	0.6504	0.4380	0.0021	
GA	I1	924631	128	200	0.0100	0.6932	0.4335	0.0024	
GA	I1	925990	126	200	0.0200	0.7336	0.4401	0.0024	
GA	I1	923751	126	200	0.0150	0.7153	0.4385	0.0023	
GA	I1	925838	131	200	0.0400	0.6944	0.4403	0.0023	
GA	I1	925625	140	200	0.0100	0.6648	0.4365	0.0023	
GA	I1	922367	137	200	0.0150	0.7235	0.4376	0.0023	
GA	I1	924202	137	200	0.0100	0.7022	0.4336	0.0025	
GA	I1	919473	120	200	0.0450	0.6439	0.4433	0.0022	
GA	I1	921597	127	200	0.0100	0.6827	0.4344	0.0025	
GA	I1	919118	145	200	0.0150	0.6829	0.4374	0.0023	
GA	I1	921144	120	200	0.0300	0.6139	0.4397	0.0023	
GA	I1	923149	122	200	0.0200	0.6890	0.4477	0.0020	
GA	I1	923134	130	200	0.0400	0.6850	0.4446	0.0022	
GA	I1	925822	136	200	0.0250	0.6521	0.4415	0.0021	
GA	I1	926002	122	200	0.0250	0.7065	0.4405	0.0022	
MAR	I1	862	7	200	0.0100	0.6733	0.2562	0.2207	
SH	I1	717	9	200	0.0150	0.1165	0.3579	0.0249	
CPM	I1	544	5	200	0.0100	0.5159	0.2109	0.1280	
GA	I2	1572631	89	121	0.0248	0.7099	0.3933	0.0040	
GA	I2	1412733	76	121	0.0248	0.7299	0.3952	0.0046	
GA	I2	1413425	69	121	0.0000	0.6551	0.3942	0.0045	
GA	I2	1414521	83	121	0.0083	0.7742	0.3933	0.0045	
GA	I2	1411747	91	121	0.0000	0.7095	0.3955	0.0042	
GA	I2	1417256	75	121	0.0165	0.8191	0.3974	0.0047	
GA	I2	1410248	78	121	0.0248	0.7469	0.3867	0.0048	
GA	I2	1395424	82	121	0.0083	0.7764	0.3910	0.0050	
GA	I2	1392675	83	121	0.0165	0.7232	0.3952	0.0044	
GA	I2	1408909	85	121	0.0000	0.6786	0.3909	0.0043	
GA	I2	1414239	82	121	0.0000	0.7879	0.3925	0.0057	
GA	I2	1390381	81	121	0.0413	0.6948	0.4074	0.0038	
GA	I2	1389403	78	121	0.0083	0.6670	0.3954	0.0045	
GA	I2	1387019	75	121	0.0083	0.7031	0.4004	0.0041	
GA	I2	1388557	81	121	0.0083	0.7400	0.3949	0.0044	
GA	I2	1391045	74	121	0.0248	0.7413	0.4032	0.0056	
GA	I2	1390941	80	121	0.0083	0.6962	0.3948	0.0042	
GA	I2	1390924	93	121	0.0165	0.6943	0.3970	0.0045	
GA	I2	1382781	73	121	0.0083	0.7436	0.3918	0.0051	
GA	I2	1385030	87	121	0.0000	0.7628	0.3949	0.0047	
GA	I2	1383604	81	121	0.0083	0.7480	0.3973	0.0040	
GA	I2	1385143	91	121	0.0000	0.7823	0.3926	0.0048	
GA	I2	1380461	81	121	0.0083	0.7843	0.3956	0.0042	
GA	I2	1384170	92	121	0.0248	0.7791	0.3939	0.0050	
GA	I2	1379577	66	121	0.0661	0.6777	0.4007	0.0052	
GA	I2	1260432	86	121	0.0083	0.6121	0.3933	0.0044	
GA	I2	1079081	86	121	0.0165	0.7364	0.3962	0.0043	
GA	I2	1079178	72	121	0.0661	0.7475	0.3990	0.0046	
GA	I2	1075496	87	121	0.0331	0.7123	0.4015	0.0045	
GA	I2	1078929	95	121	0.0083	0.7721	0.3935	0.0042	
GA	I2	1079439	80	121	0.0413	0.7032	0.4045	0.0042	
GA	I2	1078591	88	121	0.0083	0.7511	0.3953	0.0055	
GA	I2	1076024	78	121	0.0496	0.6876	0.3949	0.0042	
GA	I2	1078270	70	121	0.0248	0.6957	0.4021	0.0044	
GA	I2	1077791	78	121	0.0248	0.6892	0.3985	0.0048	
GA	I2	1079012	82	121	0.0165	0.7161	0.3987	0.0047	
GA	I2	1078217	75	121	0.0165	0.7146	0.3931	0.0044	
GA	I2	1077887	83	121	0.0083	0.6610	0.4006	0.0040	
GA	I2	1075575	96	121	0.0000	0.8029	0.3850	0.0052	
GA	I2	1080908	79	121	0.0165	0.7556	0.3982	0.0041	
GA	I2	1078546	77	121	0.0661	0.7489	0.3998	0.0058	
GA	I2	1079755	90	121	0.0083	0.7712	0.3950	0.0046	
GA	I2	1078993	77	121	0.0248	0.7417	0.3974	0.0045	
GA	I2	1077829	76	121	0.0000	0.7602	0.3902	0.0067	
GA	I2	1076566	82	121	0.0331	0.7293	0.4034	0.0039	
GA	I2	1079065	79	121	0.0331	0.8799	0.3987	0.0084	
GA	I2	1079742	84	121	0.0413	0.7523	0.4036	0.0045	
GA	I2	1079385	74	121	0.0083	0.6482	0.3931	0.0044	
GA	I2	1080531	77	121	0.0165	0.7366	0.4004	0.0042	
GA	I2	1079732	88	121	0.0083	0.7482	0.3956	0.0044	
MAR	I2	1114	4	121	0.0165	0.7151	0.2308	0.1511	
SH	I2	973	9	121	0.0496	0.1182	0.3579	0.0172	
CPM	I2	975	2	121	0.0165	0.9613	0.0498	0.0000	
GA	I3	1019570	114	232	0.0086	0.6588	0.3652	0.0058	
GA	I3	1001202	113	232	0.0129	0.6351	0.3656	0.0042	
GA	I3	992830	124	232	0.0302	0.7431	0.3693	0.0069	
GA	I3	999597	124	232	0.0172	0.8960	0.3688	0.0126	
GA	I3	1001199	132	232	0.0172	0.6115	0.3666	0.0037	
GA	I3	1004091	138	232	0.0172	0.7507	0.3753	0.0037	
GA	I3	1001333	120	232	0.0345	0.5743	0.3771	0.0038	
GA	I3	1002341	109	232	0.0345	0.6571	0.3734	0.0046	
GA	I3	1003030	121	232	0.0043	0.7129	0.3687	0.0057	
GA	I3	991388	125	232	0.0431	0.6888	0.3728	0.0035	
GA	I3	1006545	109	232	0.0388	0.6841	0.3751	0.0047	
GA	I3	999614	119	232	0.0172	0.6112	0.3691	0.0061	
GA	I3	997413	119	232	0.0086	0.7101	0.3640	0.0059	
GA	I3	996891	142	232	0.0431	0.6317	0.3739	0.0033	
GA	I3	989729	119	232	0.0172	0.7508	0.3727	0.0074	
GA	I3	1002577	109	232	0.0216	0.7068	0.3710	0.0050	
GA	I3	997921	123	232	0.0259	0.6325	0.3754	0.0045	
GA	I3	995302	124	232	0.0216	0.5796	0.3715	0.0032	
GA	I3	994955	132	232	0.0129	0.6063	0.3608	0.0038	
GA	I3	993918	130	232	0.0086	0.6655	0.3649	0.0037	
GA	I3	1003444	117	232	0.0216	0.6672	0.3720	0.0054	
GA	I3	999360	130	232	0.0172	0.7211	0.3603	0.0071	
GA	I3	994897	112	232	0.0302	0.6991	0.3751	0.0045	
GA	I3	1002829	121	232	0.0086	0.6558	0.3647	0.0048	
GA	I3	996479	123	232	0.0129	0.5845	0.3687	0.0033	
GA	I3	1002749	131	232	0.0216	0.6278	0.3720	0.0034	
GA	I3	999757	118	232	0.0172	0.6071	0.3712	0.0037	
GA	I3	999702	124	232	0.0259	0.6033	0.3773	0.0036	
GA	I3	1004417	129	232	0.0172	0.6150	0.3587	0.0045	
GA	I3	998914	121	232	0.0172	0.6775	0.3664	0.0039	
GA	I3	1001317	138	232	0.0129	0.6496	0.3654	0.0039	
GA	I3	998686	131	232	0.0086	0.6583	0.3695	0.0037	
GA	I3	1001024	125	232	0.0129	0.6643	0.3693	0.0037	
GA	I3	994503	135	232	0.0043	0.6248	0.3669	0.0037	
GA	I3	1006740	125	232	0.0043	0.6665	0.3702	0.0044	
GA	I3	995718	121	232	0.0216	0.6361	0.3707	0.0034	
