config	inst	time	count	rfsz	best	spr	hv	gd	
GA	I0	260784	75	118	0.0169	0.6634	0.4199	0.0054	
GA	I0	192872	67	118	0.0593	0.7183	0.4317	0.0085	
GA	I0	193045	80	118	0.0000	0.6860	0.4166	0.0054	
GA	I0	191555	78	118	0.0085	0.6414	0.4270	0.0047	
GA	I0	193213	76	118	0.1186	0.6498	0.4402	0.0035	
GA	I0	190540	76	118	0.0169	0.6991	0.4228	0.0052	
GA	I0	185911	67	118	0.0339	0.6643	0.4355	0.0044	
GA	I0	187290	75	118	0.0169	0.7396	0.4247	0.0073	
GA	I0	186670	80	118	0.0000	0.6338	0.4242	0.0044	
GA	I0	186438	79	118	0.0085	0.6052	0.4255	0.0041	
GA	I0	187111	70	118	0.0000	0.6452	0.4221	0.0047	
GA	I0	187044	70	118	0.0169	0.6939	0.4276	0.0046	
GA	I0	187732	76	118	0.0424	0.6301	0.4353	0.0040	
GA	I0	186563	73	118	0.0000	0.6474	0.4227	0.0053	
GA	I0	188540	72	118	0.0169	0.6906	0.4141	0.0052	
GA	I0	187031	80	118	0.0000	0.7236	0.4178	0.0063	
GA	I0	186336	80	118	0.0169	0.7363	0.4235	0.0060	
GA	I0	187254	71	118	0.0339	0.6686	0.4320	0.0053	
GA	I0	185683	75	118	0.0169	0.6533	0.4233	0.0048	
GA	I0	187545	71	118	0.0085	0.6646	0.4232	0.0046	
GA	I0	188136	66	118	0.0254	0.7217	0.4374	0.0051	
GA	I0	186314	79	118	0.0169	0.7453	0.4264	0.0054	
GA	I0	187268	65	118	0.0000	0.6489	0.4258	0.0054	
GA	I0	187422	77	118	0.0169	0.6262	0.4211	0.0070	
GA	I0	187688	75	118	0.0169	0.6427	0.4333	0.0045	
GA	I0	187483	80	118	0.0085	0.6897	0.4243	0.0067	
GA	I0	187188	69	118	0.0000	0.7291	0.4211	0.0070	
GA	I0	186735	76	118	0.0339	0.5888	0.4351	0.0034	
GA	I0	186007	68	118	0.0508	0.6889	0.4345	0.0037	
GA	I0	187032	67	118	0.0339	0.6840	0.4313	0.0042	
