config	inst	time	count	rfsz	best	spr	hv	gd	
mar	I0	0	4	118	0.0085	0.4861	0.1318	0.1649	
cpm	I0	0	2	118	0.0085	0.9344	0.0071	0.0127	
sh	I0	0	9	118	0.0339	0.0905	0.3514	0.0153	
ga	I0	0	115	118	0.9661	0.6327	0.4668	0.0003	
mar	I1	0	7	125	0.0080	0.6723	0.1897	0.2557	
cpm	I1	0	5	125	0.0080	0.5179	0.1637	0.1079	
sh	I1	0	9	125	0.0720	0.0907	0.3469	0.0000	
ga	I1	0	136	125	0.9280	0.6753	0.3909	0.0023	
mar	I2	0	4	68	0.0147	0.4854	0.1358	0.1108	
cpm	I2	0	1	68	0.0147	1.0000	0.0000	0.0000	
sh	I2	0	9	68	0.1324	0.0897	0.3503	0.0000	
ga	I2	0	91	68	0.8676	0.7386	0.3325	0.0039	
mar	I3	0	2	106	0.0094	0.8121	0.0368	0.0918	
cpm	I3	0	1	106	0.0094	1.0000	0.0000	0.0000	
sh	I3	0	9	106	0.0283	0.0888	0.3600	0.0439	
ga	I3	0	111	106	0.9717	0.6144	0.5118	0.0011	
mar	I4	0	7	179	0.0056	0.6723	0.1900	0.2613	
cpm	I4	0	4	179	0.0056	0.7040	0.1357	0.0831	
sh	I4	0	9	179	0.0168	0.0907	0.3470	0.0118	
ga	I4	0	177	179	0.9832	0.6374	0.4419	0.0000	
mar	I5	0	7	160	0.0063	0.6725	0.1892	0.2612	
cpm	I5	0	4	160	0.0063	0.6646	0.1502	0.0930	
sh	I5	0	9	160	0.0187	0.0891	0.3464	0.0125	
ga	I5	0	159	160	0.9812	0.5948	0.4524	0.0003	

