inst	noh	mks	cst
I0	0	160.6	77110.5935
I0	9.7012	155.2	80093.0186
I0	19.0569	152.4	84155.425
I0	27.975	149.1	87729.6
I1	0	457.3	219526.3122
I1	27.4128	438.6	226320.172
I1	53.2597	426	235194.7597
I1	77.483	413.2	242986.6792
I1	102.3738	409.4	255524.8952
I1	127.7076	408.6	270331.4286
I1	201.7296	403.4	312277.4058
I2	0	398.8	191449.8635
I2	24.0717	385.1	198736.2688
I2	47.2446	377.9	208631.9766
I2	69.3036	369.6	217336.2044
I3	0	576.5	276759.8001
I3	35.5312	568.4	293345.5166
I4	0	274.4	131715.8069
I4	16.4479	263.1	135793.6822
I4	31.9562	255.6	141118.6235
I4	46.4898	247.9	145792.0075
I4	61.4245	245.6	153315.5063
I4	76.6245	245.1	162198.6748
I4	121.0378	242	187366.4435
I5	0	162	77784.5324
I5	9.7133	155.4	80193.1194
I5	18.8718	150.9	83337.7698
I5	27.4546	146.4	86097.6422
I5	36.2743	145	90540.6533
I5	45.2506	144.8	95786.5443
I5	71.479	142.9	110649.4745
