inst	noh	mks	cst
I0	27.5028	144.2	85178.1777
I0	18.7372	152.8	84228.9368
I0	5.0123	166.5	82857.564
I0	3.2173	168.9	82946.8282
I0	6.5547	165	82988.0078
I0	4.6431	167	82881.2715
I0	9.3167	162.1	83236.9673
I0	30.6571	141.5	85785.9413
I0	17.1071	154.4	83993.2839
I0	7.4192	164	83087.4463
I0	8.4935	163	83147.3996
I0	14.9431	156.5	83777.1105
I0	12.3123	159.2	83583.1843
I0	23.0206	148.5	84687.6553
I0	2.1743	174.9	85215.2818
I0	5.095	166.4	82815.0784
I0	34.0497	138.6	86373.2067
I0	9.6631	161.9	83292.6866
I0	8.7276	162.7	83189.0365
I0	22.1848	149.4	84564.1792
I0	31.4177	140.8	85903.1053
I0	31.0462	141.2	85827.1766
I0	14.3504	157.1	83773.9245
I0	29.9291	142.2	85641.9768
I0	15.8775	155.6	83897.5531
I0	9.8571	161.6	83287.2399
I0	35.5579	137.5	86730.3088
I0	37.2181	136.4	87183.6959
I0	38.5791	136	87772.8999
I0	17.2242	154.2	84008.6183
I0	18.893	152.6	84194.5782
I0	23.6514	147.9	84778.9066
I0	20.4585	151.1	84412.9792
I0	14.1237	157.3	83710.02
I0	13.3345	158.1	83631.9718
I0	25.9068	145.8	85089.6311
I0	29.9136	142.2	85655.4285
I0	19.6421	151.8	84306.5442
I0	11.3289	160.2	83479.2329
I0	7.3276	164.1	83029.4073
I0	23.2183	148.3	84726.7471
I0	30.1779	141.7	85584.893
I0	19.8933	151.7	84345.8076
I0	19.0823	152.4	84174.2226
I0	21.5273	150	84527.8829
I0	25.735	146	85036.1171
I0	21.9105	149.6	84470.5619
I0	10.7001	160.8	83353.1692
I0	9.9691	161.5	83313.6186
I0	20.3791	151.1	84434.7903
I0	15.5949	155.9	83891.3631
I0	26.9554	144.7	85187.3479
I0	27.4673	144.2	85236.9189
I0	30.8476	141.4	85807.9362
I0	15.1173	156.3	83800.3753
I0	24.8118	146.7	84882.5435
I0	13.4846	158	83657.0613
I0	28.3229	143.6	85420.6962
I0	8.3717	163.1	83152.7931
I0	10.8241	160.7	83424.9046
I0	4.5999	167.1	82900.0377
I0	21.8456	149.7	84527.1651
I0	23.8365	147.8	84783.1183
I0	26.146	145.5	85045.9696
I0	16.8217	154.6	83979.7779
I0	27.755	143.9	85253.9309
I0	10.9574	160.6	83445.5727
I0	26.8465	144.9	85191.3948
I0	23.0672	148.4	84663.3464
I0	2.6057	172.1	84117.0144
I0	40.7828	134.6	88464.7694
I0	39.0802	135.4	87844.6516
I0	14.0427	157.5	83722.3135
I0	12.2393	159.3	83556.3459
I0	19.393	152.1	84275.5707
I0	1.7634	175.4	85222.6406
I0	8.3044	163.2	83129.2457
I0	11.0726	160.4	83404.1151
I0	13.0368	158.4	83609.7051
I0	11.6691	159.8	83472.3404
I0	9.735	161.7	83266.5813
I0	11.0744	160.4	83401.368
I0	12.0928	159.4	83500.2433
I0	19.8572	151.7	84384.4644
I0	3.8703	167.8	82780.6686
I0	3.9791	167.7	82791.1194
I0	11.5371	159.9	83433.5169
I0	28.3388	143.5	85379.5641
I0	20.0262	151.6	84398.7815
I0	22.9203	148.6	84648.774
I0	9.2103	162.3	83221.4637
I0	19.6631	151.9	84282.5443
I0	6.308	165.4	83062.0081
I0	22.6888	148.8	84586.0246
I0	24.0581	147.5	84805.7311
I0	34.3755	138.4	86495.4923
I0	23.3275	148.1	84627.5001
I0	10.9758	160.5	83394.8726
I0	16.2129	155.2	83921.9203
I0	19.6895	151.8	84264.8713
I0	15.6391	155.8	83848.6056
I0	6.4325	165.2	83029.9904
I0	14.8438	156.6	83750.9615
I0	13.7947	157.7	83650.2482
I0	20.2983	151.2	84319.391
I0	20.6407	150.8	84352.0727
I0	12.4732	159	83544.3952
I0	8.6811	162.9	83218.7237
I0	24.9419	146.7	84882.4998
I0	24.0111	147.6	84825.1805
I0	3.4933	168.6	82973.4352
I0	4.406	167.2	82830.0843
I0	33.9013	138.8	86384.0904
I0	32.2904	139.9	85975.6859
I0	30.5475	141.6	85743.2595
I0	24.0066	147.7	84799.1112
I0	31.1251	141	85787.5829
I0	3.6602	168.2	82877.8406
I0	16.463	155	83952.964
I0	27.9174	143.7	85237.142
I0	25.4073	146.1	84968.0489
I0	18.3162	153.1	84093.3166
I0	14.5415	156.9	83753.9286
I0	11.4842	160	83434.7944
I0	9.0364	162.4	83221.6619
I0	13.247	158.3	83645.1124
I0	26.1382	145.6	85063.9417
I0	14.2852	157.2	83725.5244
I0	22.0294	149.5	84571.8551
I0	17.2142	154.3	84046.3405
I0	16.0522	155.4	83883.4988
I0	22.4527	149.1	84631.3424
I0	28.5634	143.1	85351.4986
I0	14.0372	157.5	83750.9593
I0	16.655	154.8	83994.5044
I0	26.4828	145.2	85100.0343
I0	40.0368	135.3	88288.1604
I0	18.2241	153.3	84140.1953
I0	31.8511	140.3	85904.7646
I0	26.7408	145	85143.1679
I0	21.4225	150.2	84484.3316
I0	31.2588	140.9	85832.8632
I0	32.6185	139.7	86076.6488
I0	22.4773	149.1	84596.7944
I0	21.8644	149.6	84491.1797
I0	17.9191	153.5	84057.7697
I0	24.1425	147.4	84766.6624
I0	6.5712	164.9	82962.9935
I0	8.8696	162.6	83204.7787
I0	7.5269	163.9	83054.6017
I0	7.1596	164.3	83013.2823
I0	8.2038	163.3	83164.1721
I0	9.7144	161.7	83276.7672
I0	18.54	153	84214.704
I0	15.1024	156.4	83809.2193
I0	25.4584	146.2	84947.2508
I0	17.3299	154.1	84020.7932
I0	20.0387	151.6	84365.6039
I0	19.5614	151.9	84284.6805
I0	19.3961	152.1	84240.9439
I0	7.2814	164.2	83061.0437
I0	14.7305	156.7	83775.7217
I0	15.8795	155.6	83864.436
I0	9.2767	162.2	83247.8927
I0	15.9743	155.5	83885.749
I0	30.1584	141.8	85653.8588
I0	18.1869	153.4	84144.7916
I0	31.7262	140.4	85875.9464
I0	15.8412	155.7	83953.6139
I0	27.8168	143.9	85245.2643
I0	20.8634	150.6	84410.9026
I0	7.8032	163.7	83106.7549
I0	20.0665	151.4	84333.9534
I0	3.6384	168.3	82894.0399
I0	10.2475	161.3	83391.4145
I0	27.1284	144.4	85121.2312
I0	16.9234	154.5	83990.4622
I0	27.7385	144	85231.3165
I0	20.9648	150.5	84412.4442
I0	25.9405	145.8	85072.7704
I0	41.7795	134.5	88976.9246
I0	34.5247	138.3	86526.2626
I0	36.3722	137	86989.8918
I0	36.6428	136.8	87060.2806
I0	13.7426	157.8	83734.1417
I0	24.7527	146.8	84895.8238
I0	32.2838	140.2	86129.1789
I0	24.6847	146.9	84860.35
I0	13.6016	157.9	83686.6257
I0	15.3114	156.1	83819.5112
I0	24.3551	147.2	84787.6304
I0	23.6094	148	84700.5522
I0	18.6146	153	84172.3357
I0	5.301	166.2	82840.1907
I0	25.7375	145.9	85018.9889
I0	29.2918	142.6	85456.0874
I0	17.7322	153.7	84058.051
I0	18.836	152.6	84206.8572
I0	24.4837	147.1	84845.1525
I0	12.6489	158.8	83562.5254
I0	16.4576	155.1	83949.7503
I0	26.8551	144.8	85147.8545
I0	11.2149	160.3	83454.5099
I0	29.0227	142.7	85362.8336
I0	25.0378	146.5	84914.7104
I0	9.4921	162	83258.2593
I0	6.6342	164.8	82968.9101
I0	6.9429	164.5	82992.4814
I0	5.7702	165.7	82879.8947
I0	8.1851	163.4	83189.871
I0	25.6592	146	85041.2629
I0	18.1509	153.3	84145.3637
I0	12.8108	158.6	83566.8287
I0	29.4253	142.5	85512.514
I0	22.2835	149.2	84586.1726
I0	9.9843	161.5	83295.0702
I0	10.3033	161.2	83354.6284
I0	21.1351	150.3	84438.8104
I0	19.4476	152	84278.4872
I0	23.5363	148	84731.2593
I0	20.0927	151.4	84297.6705
I0	17.8418	153.6	84110.5562
I0	45.9672	134	91240.9943
I0	46.0247	133.6	91046.3056
I0	43.9865	134.1	90123.8591
I0	42.5662	134.3	89308.9363
I0	28.465	143.3	85312.5912
I0	24.1498	147.3	84737.2041
I0	21.6292	149.8	84507.0742
I0	25.1307	146.3	84838.4599
I0	14.6519	156.8	83744.1186
I0	24.3779	147.2	84784.5409
I0	18.9172	152.5	84175.2603
I0	9.6732	161.8	83265.8993
I0	10.5566	160.9	83368.133
I0	14.5596	156.9	83729.749
I0	11.7622	159.7	83480.1706
I0	17.5576	154	84119.3352
I0	6.2339	165.5	83049.4368
I0	10.3345	161.1	83329.3765
I0	14.5139	157	83773.2126
I0	23.5892	148	84720.1067
I0	7.3133	164.1	83045.4382
I0	3.7644	168	82847.3849
I0	9.0624	162.4	83195.9478
I0	17.6263	153.8	84025.2349
I0	19.9008	151.7	84341.6237
I0	26.5933	145.1	85124.8564
I0	7.8143	163.6	83087.4717
I0	18.7487	152.7	84159.2697
I0	22.5143	148.9	84546.0953
I0	10.581	160.9	83341.7377
I0	8.1751	163.4	83196.0074
I0	19.3419	152.2	84304.0967
I0	26.3036	145.3	84989.7128
I0	5.5586	165.9	82859.5873
I0	31.608	140.5	85827.2581
I0	32.8942	139.4	86064.5204
I0	12.3165	159.1	83514.4075
I0	18.6422	152.9	84204.7714
I0	9.7465	161.7	83264.8899
I0	21.466	150.1	84483.8557
I0	29.93	141.9	85528.4117
I0	29.5572	142.3	85497.193
I0	20.9827	150.5	84409.9038
I0	17.0815	154.4	84015.5644
I0	16.5169	154.9	83969.2671
I0	4.7566	166.8	82835.2086
I0	2.7872	169.4	82921.0347
I0	38.7535	135.8	87854.7846
I0	35.5327	137.7	86816.2102
I0	10.206	161.4	83361.312
I0	11.8264	159.6	83467.6451
I0	38.4066	136.3	87835.165
I0	20.6196	151	84478.4058
I0	20.2325	151.3	84393.3457
I0	31.5192	140.7	85908.1782
I0	14.042	157.5	83744.514
I0	33.3284	139.3	86275.2982
I0	33.4111	139	86188.1602
I0	7.9396	163.5	83095.8494
I0	16.5591	154.9	83960.7383
I0	35.14	137.8	86642.6349
I0	14.8267	156.6	83795.4883
I0	19.1596	152.3	84216.4172
I0	34.786	138.2	86614.9582
I0	2.6992	169.7	83034.8195
I0	21.5425	149.9	84420.1935
I0	8.2589	163.2	83132.8596
I0	22.2516	149.3	84581.1926
I0	15.8583	155.7	83944.8377
I0	16.2239	155.2	83895.2782
I0	24.5098	147.1	84831.9407
I1	46.1044	435	235416.7715
I1	45.4425	436.7	235829.1426
I1	86.3987	399.4	241884.237
I1	73.9439	409.4	239492.6658
I1	94.3386	394.1	244008.6746
I1	75.16	407.1	239081.9451
