inst	noh	mks	cst
I0	0	160.6	77110.5935
I0	8.4004	153.3	78463.5266
I0	16.0572	147.4	80018.317
I0	23.0429	141.8	81372.0537
I0	29.7	137.7	83240.7411
I0	36.0348	134.2	85388.0804
I0	42.2078	131.5	87784.8521
I0	48.3142	129.4	90443.0724
I0	52.9156	124.8	91022.8432
I1	0	457.3	219526.3122
I1	23.2445	437	223174.0951
I1	44.398	420.3	227329.2544
I1	63.6742	404.7	230950.1251
I1	81.9818	393	235894.2836
I1	99.3536	383	241579.5849
I1	116.219	375	247900.0109
I1	132.8369	368.7	254889.2325
I1	145.488	356.1	256483.2754
I2	0	398.8	191449.8635
I2	20.809	380.8	194794.4354
I2	39.7739	366	198636.4861
I2	57.0744	352.3	201980.5273
I2	73.5573	342.1	206593.991
I2	89.2385	333.4	211895.0899
I2	104.5145	326.6	217810.1924
I2	119.6213	321.3	224369.0161
I2	131.0137	309.9	225804.2802
I3	0	576.5	276759.8001
I3	32.4784	549.1	282322.476
I3	62.1974	527.1	288844.7373
I3	89.3916	506.2	294512.8466
I3	115.5222	491.6	302524.2598
I3	140.5593	479.3	311716.812
I3	165.171	469.9	322059.5976
I3	189.7512	463.2	333613.468
I3	207.8227	445.1	335890.4819
I4	0	274.4	131715.8069
I4	13.9467	262.2	133904.457
I4	26.6388	252.1	136397.5526
I4	38.2045	242.8	138570.075
I4	49.1891	235.8	141536.5702
I4	59.6122	229.8	144947.7509
I4	69.7315	225	148740.1105
I4	79.7019	221.2	152933.154
I4	87.2928	213.6	153889.9653
I5	0	162	77784.5324
I5	8.2362	154.8	79077.4353
I5	15.7316	148.9	80549.7358
I5	22.5616	143.4	81832.2852
I5	29.0486	139.2	83584.476
I5	35.204	135.7	85599.0655
I5	41.1799	132.8	87838.5265
I5	47.068	130.6	90314.6819
I5	51.5509	126.1	90879.9007
