config	inst	time	count	best	spr	hv	gd	
nsga50k2x	I0	0	115	73	0.5817	0.5156	0.0010	
nsga50k4x	I0	0	105	39	0.6984	0.5153	0.0052	
nsga50k8x	I0	0	96	14	0.5399	0.4952	0.0031	
nsga50k16x	I0	0	86	2	0.6641	0.4756	0.0067	
nsga50k2x	I1	0	136	93	0.5998	0.5005	0.0014	
nsga50k4x	I1	0	122	28	0.6423	0.4891	0.0014	
nsga50k8x	I1	0	121	11	0.6044	0.4755	0.0031	
nsga50k16x	I1	0	113	0	0.6221	0.4464	0.0045	
nsga50k2x	I2	0	91	68	0.7057	0.6363	0.0010	
nsga50k4x	I2	0	80	20	0.6933	0.6345	0.0046	
nsga50k8x	I2	0	75	6	0.7351	0.5925	0.0053	
nsga50k16x	I2	0	68	1	0.6872	0.5522	0.0078	
nsga50k2x	I3	0	111	89	0.5702	0.5170	0.0008	
nsga50k4x	I3	0	93	31	0.6268	0.4930	0.0031	
nsga50k8x	I3	0	102	5	0.6847	0.4571	0.0064	
nsga50k16x	I3	0	79	0	0.8193	0.4416	0.0152	
nsga50k2x	I4	0	177	129	0.5866	0.5162	0.0005	
nsga50k4x	I4	0	180	55	0.6790	0.5091	0.0023	
nsga50k8x	I4	0	154	3	0.5947	0.4965	0.0017	
nsga50k16x	I4	0	150	1	0.6502	0.4807	0.0035	
nsga50k2x	I5	0	159	119	0.5448	0.5321	0.0003	
nsga50k4x	I5	0	148	40	0.6174	0.5224	0.0013	
nsga50k8x	I5	0	138	3	0.5664	0.5095	0.0019	
nsga50k16x	I5	0	121	5	0.7020	0.4992	0.0033	

