config	inst	time	count	best	spr	hv	gd	
nsga50k2x	#0	260784	75	0.0174	0.6259	0.4537	0.0068	
nsga50k2x	#0	192872	67	0.0609	0.6865	0.4734	0.0108	
nsga50k2x	#0	193045	80	0.0000	0.6533	0.4496	0.0068	
nsga50k2x	#0	191555	78	0.0087	0.5899	0.4639	0.0059	
nsga50k2x	#0	193213	76	0.1217	0.6041	0.4812	0.0044	
nsga50k2x	#0	190540	76	0.0174	0.6626	0.4643	0.0065	
nsga50k2x	#0	185911	67	0.0348	0.6293	0.4747	0.0056	
nsga50k2x	#0	187290	75	0.0174	0.7276	0.4595	0.0092	
nsga50k2x	#0	186670	80	0.0000	0.5906	0.4606	0.0055	
nsga50k2x	#0	186438	79	0.0087	0.5487	0.4620	0.0052	
nsga50k2x	#0	187111	70	0.0000	0.6070	0.4587	0.0060	
nsga50k2x	#0	187044	70	0.0174	0.6563	0.4658	0.0057	
nsga50k2x	#0	187732	76	0.0435	0.5854	0.4779	0.0050	
nsga50k2x	#0	186563	73	0.0000	0.5982	0.4587	0.0067	
nsga50k2x	#0	188540	72	0.0174	0.6487	0.4525	0.0065	
nsga50k2x	#0	187031	80	0.0000	0.6963	0.4530	0.0079	
nsga50k2x	#0	186336	80	0.0174	0.7145	0.4578	0.0076	
nsga50k2x	#0	187254	71	0.0348	0.6322	0.4727	0.0068	
nsga50k2x	#0	185683	75	0.0174	0.6105	0.4577	0.0060	
nsga50k2x	#0	187545	71	0.0087	0.6226	0.4592	0.0058	
nsga50k2x	#0	188136	66	0.0261	0.6870	0.4824	0.0064	
nsga50k2x	#0	186314	79	0.0174	0.7172	0.4615	0.0069	
nsga50k2x	#0	187268	65	0.0000	0.5976	0.4645	0.0068	
nsga50k2x	#0	187422	77	0.0174	0.5957	0.4551	0.0088	
nsga50k2x	#0	187688	75	0.0174	0.6023	0.4721	0.0056	
nsga50k2x	#0	187483	80	0.0087	0.6688	0.4627	0.0084	
nsga50k2x	#0	187188	69	0.0000	0.7046	0.4557	0.0088	
nsga50k2x	#0	186735	76	0.0435	0.5326	0.4748	0.0042	
nsga50k2x	#0	186007	68	0.0522	0.6488	0.4706	0.0047	
nsga50k2x	#0	187032	67	0.0348	0.6482	0.4724	0.0053	
nsga50k2x	#0	187306	80	0.0174	0.6334	0.4488	0.0081	
nsga50k2x	#0	186410	70	0.0261	0.5617	0.4774	0.0049	
nsga50k2x	#0	187067	65	0.0609	0.7201	0.4821	0.0050	
nsga50k2x	#0	187427	73	0.0000	0.6709	0.4562	0.0067	
nsga50k2x	#0	186366	67	0.0087	0.6034	0.4614	0.0058	
nsga50k2x	#0	187066	72	0.0087	0.7360	0.4620	0.0081	
nsga50k2x	#0	186358	69	0.0348	0.6777	0.4647	0.0074	
nsga50k2x	#0	187640	65	0.0000	0.6016	0.4604	0.0059	
nsga50k2x	#0	187165	77	0.0087	0.6416	0.4648	0.0062	
nsga50k2x	#0	187199	79	0.0174	0.5407	0.4669	0.0051	
nsga50k2x	#0	187344	74	0.0261	0.7354	0.4643	0.0075	
nsga50k2x	#0	186866	72	0.0348	0.6569	0.4684	0.0049	
nsga50k2x	#0	187857	78	0.0174	0.6758	0.4585	0.0133	
nsga50k2x	#0	186565	80	0.0348	0.5675	0.4661	0.0048	
nsga50k2x	#0	186292	71	0.0087	0.5381	0.4622	0.0068	
nsga50k2x	#0	186863	68	0.0000	0.6113	0.4544	0.0070	
nsga50k2x	#0	186766	80	0.0261	0.6730	0.4658	0.0054	
nsga50k2x	#0	187337	76	0.0000	0.5431	0.4465	0.0071	
nsga50k2x	#0	187099	70	0.0000	0.6590	0.4640	0.0068	
nsga50k2x	#0	186435	69	0.0087	0.6770	0.4688	0.0072	
rs50k	#0	148649	20	0.0000	0.6738	0.1118	0.1146	
rs50k	#0	151384	24	0.0000	0.7270	0.0897	0.1111	
rs50k	#0	146740	24	0.0000	0.7742	0.0814	0.1206	
rs50k	#0	146591	17	0.0000	0.6599	0.0885	0.1424	
rs50k	#0	144961	22	0.0000	0.8014	0.1163	0.1340	
rs50k	#0	145312	20	0.0000	0.6546	0.1027	0.1242	
rs50k	#0	145383	24	0.0000	0.6198	0.0755	0.1180	
rs50k	#0	145570	18	0.0000	0.7197	0.0794	0.1324	
rs50k	#0	145437	23	0.0000	0.8015	0.0933	0.1134	
rs50k	#0	144542	20	0.0000	0.8758	0.0815	0.1329	
rs50k	#0	144503	25	0.0000	0.7685	0.0745	0.1094	
rs50k	#0	144484	20	0.0000	0.7305	0.0649	0.1308	
rs50k	#0	144510	25	0.0000	0.8195	0.0767	0.1100	
rs50k	#0	144535	27	0.0000	0.8598	0.0870	0.1231	
rs50k	#0	144443	19	0.0000	0.7061	0.0821	0.1227	
rs50k	#0	144495	25	0.0000	0.7726	0.0902	0.1390	
rs50k	#0	144464	27	0.0000	0.8017	0.0792	0.1066	
rs50k	#0	144435	22	0.0000	0.7400	0.0887	0.1018	
rs50k	#0	144434	19	0.0000	0.7608	0.1017	0.1153	
