config	inst	time	count	best	spr	hv	gd	
nsga5k	I0	0	74	0	0.7658	0.4217	0.0124	
nsga10k	I0	0	74	0	0.7269	0.4528	0.0084	
nsga20k	I0	0	111	2	0.5903	0.4743	0.0035	
nsga50k	I0	0	115	115	0.5819	0.5161	0.0000	
rs5k	I0	0	26	0	0.7535	0.1176	0.1072	
rs10k	I0	0	34	0	0.7607	0.1127	0.0852	
rs20k	I0	0	36	0	0.7587	0.1405	0.0741	
rs50k	I0	0	37	0	0.7310	0.1494	0.0742	
nsga5k	I1	0	82	0	0.6385	0.4221	0.0086	
nsga10k	I1	0	101	0	0.5965	0.4488	0.0049	
nsga20k	I1	0	130	6	0.6570	0.4768	0.0028	
nsga50k	I1	0	136	133	0.5995	0.5138	0.0001	
rs5k	I1	0	47	0	0.7940	0.2132	0.0437	
rs10k	I1	0	56	0	0.7572	0.2120	0.0405	
rs20k	I1	0	63	0	0.7656	0.2198	0.0329	
rs50k	I1	0	55	0	0.7165	0.2408	0.0339	
nsga5k	I2	0	41	0	0.6276	0.4231	0.0183	
nsga10k	I2	0	64	0	0.6518	0.4673	0.0106	
nsga20k	I2	0	70	7	0.6422	0.5094	0.0059	
nsga50k	I2	0	91	83	0.6369	0.5606	0.0005	
rs5k	I2	0	27	0	0.7436	0.0541	0.1204	
rs10k	I2	0	26	0	0.8217	0.0722	0.1192	
rs20k	I2	0	20	0	0.8503	0.0820	0.1365	
rs50k	I2	0	31	0	0.7587	0.0889	0.0917	
nsga5k	I3	0	60	0	0.6376	0.3853	0.0217	
nsga10k	I3	0	60	2	0.8539	0.4715	0.0160	
nsga20k	I3	0	90	4	0.6517	0.4978	0.0062	
nsga50k	I3	0	111	107	0.6112	0.5649	0.0003	
rs5k	I3	0	28	0	0.7739	0.0000	0.2051	
rs10k	I3	0	33	0	0.8764	0.0000	0.1479	
rs20k	I3	0	35	0	0.7514	0.0256	0.1366	
rs50k	I3	0	44	0	0.7733	0.0193	0.1270	
nsga5k	I4	0	105	0	0.6975	0.4483	0.0067	
nsga10k	I4	0	131	1	0.6374	0.4713	0.0037	
nsga20k	I4	0	152	5	0.6797	0.4920	0.0025	
nsga50k	I4	0	177	175	0.5867	0.5161	0.0001	
rs5k	I4	0	48	0	0.6486	0.2409	0.0380	
rs10k	I4	0	47	0	0.7029	0.2683	0.0332	
rs20k	I4	0	62	0	0.7731	0.2736	0.0324	
rs50k	I4	0	56	0	0.7598	0.2835	0.0305	
nsga5k	I5	0	96	0	0.6560	0.4531	0.0069	
nsga10k	I5	0	113	0	0.6165	0.4827	0.0043	
nsga20k	I5	0	134	7	0.5526	0.5043	0.0021	
nsga50k	I5	0	159	156	0.5448	0.5321	0.0001	
rs5k	I5	0	47	0	0.7597	0.2410	0.0451	
rs10k	I5	0	47	0	0.7566	0.2619	0.0379	
rs20k	I5	0	56	0	0.7702	0.2635	0.0355	
rs50k	I5	0	56	0	0.8142	0.2941	0.0304	

