config	inst	time	count	best	spr	hv	gd	
rs5k	I0	37234	11	3	0.6812	0.4385	0.0341	
rs5k	I0	55184	17	1	0.8691	0.4103	0.0665	
rs5k	I0	57590	17	0	0.9071	0.4101	0.0762	
rs5k	I0	58491	20	0	0.6191	0.3831	0.0427	
rs5k	I0	57979	21	0	0.7476	0.4254	0.0409	
rs5k	I0	57151	18	1	0.7896	0.4168	0.0489	
rs5k	I0	57187	16	2	0.5936	0.4287	0.0416	
rs5k	I0	56120	18	0	0.6714	0.4164	0.0468	
rs5k	I0	56713	19	0	0.8159	0.4051	0.0425	
rs5k	I0	55685	19	0	0.7261	0.2919	0.0582	
rs5k	I0	55045	14	2	0.7578	0.5395	0.0497	
rs5k	I0	56760	18	0	0.7283	0.3918	0.0483	
rs5k	I0	56525	12	0	0.6742	0.4581	0.0439	
rs5k	I0	56782	15	2	0.5673	0.4202	0.0425	
rs5k	I0	56635	18	0	0.7277	0.3001	0.0619	
rs5k	I0	55625	17	1	0.5812	0.4132	0.0465	
rs5k	I0	53990	18	0	0.6393	0.3343	0.0514	
rs5k	I0	55565	19	0	0.7064	0.3863	0.0483	
rs5k	I0	56006	15	0	0.7594	0.3613	0.0490	
rs5k	I0	56430	19	0	0.8245	0.4040	0.0374	
rs5k	I0	56348	16	1	0.5926	0.4541	0.0459	
rs5k	I0	57080	18	1	0.7826	0.4333	0.0553	
rs5k	I0	57520	10	2	0.5621	0.5805	0.0468	
rs5k	I0	56990	9	2	0.7459	0.5423	0.0948	
rs5k	I0	56372	25	0	0.7691	0.3777	0.0429	
rs5k	I0	54109	12	0	0.5971	0.4084	0.0431	
rs5k	I0	54181	15	1	0.7249	0.3905	0.0561	
rs5k	I0	54887	19	0	0.7172	0.3762	0.0529	
rs5k	I0	56383	15	0	0.7893	0.4948	0.0433	
rs5k	I0	56311	25	1	0.7218	0.3506	0.0549	
rs5k	I0	56268	21	0	0.6608	0.3028	0.0526	
rs5k	I0	55794	22	0	0.6913	0.3600	0.0485	
rs5k	I0	57101	19	0	0.7796	0.3973	0.0544	
rs5k	I0	58312	15	0	0.6762	0.3825	0.0452	
rs5k	I0	58004	13	0	0.7483	0.4619	0.0580	
rs5k	I0	58101	18	1	0.7210	0.3542	0.0482	
rs5k	I0	58579	18	0	0.8718	0.3854	0.0563	
rs5k	I0	57961	21	1	0.6559	0.3616	0.0445	
rs5k	I0	59387	22	0	0.6829	0.2993	0.0537	
rs5k	I0	57562	20	0	0.7009	0.3835	0.0457	
rs5k	I0	55320	23	0	0.7013	0.3106	0.0594	
rs5k	I0	52940	18	1	0.7348	0.4839	0.0490	
rs5k	I0	51610	20	0	0.8018	0.3895	0.0485	
rs5k	I0	56986	18	0	0.7134	0.3682	0.0491	
rs5k	I0	57880	16	1	0.7942	0.4092	0.0421	
rs5k	I0	57099	16	0	0.6547	0.3624	0.0614	
rs5k	I0	57273	9	2	0.5334	0.5478	0.0455	
rs5k	I0	58335	12	0	0.8225	0.3910	0.0546	
rs5k	I0	53722	19	0	0.8076	0.3523	0.0535	
rs5k	I0	57286	23	0	0.7106	0.3791	0.0435	
rs5k	I1	312808	31	0	0.5740	0.4657	0.0200	
rs5k	I1	313290	33	0	0.6351	0.4840	0.0188	
rs5k	I1	315004	31	0	0.6029	0.4703	0.0191	
rs5k	I1	319612	21	2	0.5188	0.5105	0.0193	
rs5k	I1	312216	22	1	0.7158	0.5308	0.0246	
rs5k	I1	324378	32	0	0.7010	0.4725	0.0205	
rs5k	I1	318702	32	1	0.6341	0.4929	0.0214	
rs5k	I1	322407	32	0	0.5840	0.4775	0.0195	
rs5k	I1	324421	27	3	0.6598	0.5514	0.0156	
rs5k	I1	326662	26	1	0.6420	0.5124	0.0201	
rs5k	I1	294982	34	1	0.6127	0.5063	0.0179	
rs5k	I1	279580	24	1	0.6060	0.4911	0.0231	
rs5k	I1	280482	32	0	0.6823	0.4820	0.0214	
rs5k	I1	279534	34	2	0.6981	0.4941	0.0205	
rs5k	I1	278836	26	1	0.5364	0.4995	0.0180	
rs5k	I1	278992	22	3	0.7278	0.5781	0.0196	
rs5k	I1	278806	26	0	0.6531	0.4971	0.0239	
rs5k	I1	278098	24	1	0.7914	0.5043	0.0195	
rs5k	I1	278744	29	1	0.6316	0.5073	0.0166	
rs5k	I1	278490	36	0	0.6594	0.4686	0.0182	
rs5k	I1	278859	23	2	0.6723	0.5191	0.0164	
rs5k	I1	278870	23	2	0.7110	0.5338	0.0169	
rs5k	I1	278409	26	0	0.6777	0.5138	0.0214	
rs5k	I1	278747	21	1	0.4351	0.5274	0.0172	
rs5k	I1	278482	34	0	0.6060	0.4882	0.0209	
rs5k	I1	278675	26	0	0.6921	0.5000	0.0182	
rs5k	I1	278948	28	1	0.6062	0.5016	0.0218	
rs5k	I1	277875	30	1	0.6549	0.4918	0.0192	
rs5k	I1	278315	25	0	0.6189	0.5027	0.0183	
rs5k	I1	278568	34	1	0.6788	0.4846	0.0189	
rs5k	I1	277969	37	1	0.6511	0.4966	0.0192	
rs5k	I1	278332	24	2	0.7096	0.5266	0.0246	
rs5k	I1	278842	34	1	0.6704	0.5080	0.0179	
rs5k	I1	278096	35	0	0.6888	0.4691	0.0204	
rs5k	I1	278227	25	3	0.7759	0.5305	0.0183	
rs5k	I1	278617	22	1	0.7181	0.5106	0.0186	
rs5k	I1	277684	27	1	0.5755	0.4990	0.0182	
rs5k	I1	278234	31	0	0.6641	0.4710	0.0201	
rs5k	I1	278221	31	1	0.6916	0.4980	0.0201	
rs5k	I1	278269	30	0	0.6823	0.5078	0.0183	
rs5k	I1	278073	29	0	0.6125	0.5029	0.0188	
rs5k	I1	278104	28	1	0.5924	0.5182	0.0184	
rs5k	I1	278261	28	1	0.5922	0.4923	0.0169	
rs5k	I1	278733	25	3	0.6503	0.4973	0.0253	
rs5k	I1	278246	29	1	0.6356	0.5234	0.0202	
rs5k	I1	278116	27	0	0.6766	0.5103	0.0199	
rs5k	I1	278202	31	3	0.6677	0.4992	0.0194	
rs5k	I1	278456	35	0	0.5105	0.4801	0.0187	
rs5k	I1	278569	33	0	0.6906	0.4742	0.0242	
rs5k	I1	277997	25	2	0.6746	0.5243	0.0167	
rs5k	I2	321415	22	0	0.6668	0.3648	0.0559	
rs5k	I2	321193	16	0	0.6074	0.4207	0.0496	
rs5k	I2	320927	14	0	0.7021	0.4293	0.0569	
rs5k	I2	321058	20	0	0.7297	0.3737	0.0466	
rs5k	I2	320962	18	0	0.6097	0.3876	0.0529	
rs5k	I2	321679	22	0	0.7298	0.3631	0.0532	
rs5k	I2	321234	18	0	0.9201	0.4140	0.0612	
rs5k	I2	321307	19	0	0.6806	0.3711	0.0507	
rs5k	I2	321463	21	2	0.5720	0.4085	0.0440	
rs5k	I2	321354	15	1	0.7298	0.4131	0.0514	
rs5k	I2	321381	8	2	0.6680	0.5526	0.0415	
rs5k	I2	321315	9	0	0.6357	0.4425	0.0492	
rs5k	I2	321395	9	1	0.7501	0.4873	0.0482	
rs5k	I2	321637	15	0	0.6244	0.4501	0.0498	
rs5k	I2	321594	15	2	0.6903	0.4643	0.0515	
rs5k	I2	321238	20	0	0.7413	0.4010	0.0483	
rs5k	I2	321351	22	0	0.8347	0.3789	0.0536	
rs5k	I2	321364	20	0	0.8027	0.3932	0.0521	
rs5k	I2	321627	13	0	0.5634	0.3625	0.0566	
rs5k	I2	320999	15	0	0.7400	0.4569	0.0550	
rs5k	I2	321458	8	3	0.7807	0.6566	0.0397	
rs5k	I2	321349	10	0	0.6945	0.5187	0.0451	
rs5k	I2	320818	14	1	0.7703	0.4910	0.0475	
rs5k	I2	321631	17	1	0.7303	0.4624	0.0471	
rs5k	I2	321242	15	1	0.8101	0.5514	0.0546	
rs5k	I2	321565	12	0	0.6322	0.4069	0.0592	
rs5k	I2	321774	11	0	0.6852	0.4457	0.0532	
rs5k	I2	321344	14	0	0.7900	0.4776	0.0510	
rs5k	I2	321815	13	1	0.7798	0.4397	0.0522	
rs5k	I2	321349	19	0	0.6981	0.3762	0.0486	
rs5k	I2	321404	15	0	0.6500	0.4016	0.0545	
rs5k	I2	321670	9	1	0.7869	0.4986	0.0594	
