config	inst	time	count	best	spr	hv	gd	
nsga5k2x	I0	33088	32	1	0.5516	0.5098	0.0146	
nsga5k2x	I0	30865	37	1	0.6293	0.5113	0.0156	
nsga5k2x	I0	31015	45	0	0.8093	0.5019	0.0137	
nsga5k2x	I0	30762	37	3	0.6040	0.5071	0.0128	
nsga5k2x	I0	31159	45	2	0.8365	0.5415	0.0243	
nsga5k2x	I0	30882	38	2	0.6630	0.4941	0.0181	
nsga5k2x	I0	30868	46	2	0.6236	0.5083	0.0113	
nsga5k2x	I0	31369	37	2	0.5905	0.4965	0.0194	
nsga5k2x	I0	30920	37	1	0.6131	0.4961	0.0132	
nsga5k2x	I0	31118	43	0	0.6279	0.4880	0.0151	
nsga5k2x	I0	30858	39	1	0.6411	0.5213	0.0124	
nsga5k2x	I0	31031	34	1	0.7710	0.4893	0.0228	
nsga5k2x	I0	31205	40	2	0.7351	0.4960	0.0154	
nsga5k2x	I0	31077	27	3	0.6289	0.5082	0.0155	
nsga5k2x	I0	30916	44	0	0.7138	0.5037	0.0115	
nsga5k2x	I0	31052	38	1	0.5973	0.5028	0.0126	
nsga5k2x	I0	31143	40	1	0.7668	0.5329	0.0146	
nsga5k2x	I0	31069	42	1	0.6667	0.4825	0.0158	
nsga5k2x	I0	30989	33	1	0.4978	0.4920	0.0153	
nsga5k2x	I0	31031	31	2	0.6223	0.5090	0.0154	
nsga5k2x	I0	30875	36	0	0.6097	0.4780	0.0167	
nsga5k2x	I0	31049	31	3	0.6790	0.5630	0.0116	
nsga5k2x	I0	30814	44	0	0.5341	0.4710	0.0159	
nsga5k2x	I0	31166	34	3	0.6512	0.5402	0.0096	
nsga5k2x	I0	30883	36	0	0.5670	0.4696	0.0186	
nsga5k2x	I0	30845	46	2	0.7064	0.4802	0.0170	
nsga5k2x	I0	30795	35	4	0.6766	0.5138	0.0154	
nsga5k2x	I0	31027	29	1	0.7101	0.5001	0.0172	
nsga5k2x	I0	31065	32	0	0.7192	0.4755	0.0190	
nsga5k2x	I0	30150	41	3	0.6711	0.5154	0.0133	
nsga5k2x	I0	29774	39	1	0.6777	0.5257	0.0133	
nsga5k2x	I0	29606	39	0	0.6958	0.5020	0.0120	
nsga5k2x	I0	30077	42	1	0.6873	0.4920	0.0165	
nsga5k2x	I0	29712	39	1	0.6704	0.5229	0.0122	
nsga5k2x	I0	29769	46	6	0.6847	0.5420	0.0089	
nsga5k2x	I0	29349	28	1	0.6330	0.4741	0.0204	
nsga5k2x	I0	29570	40	1	0.8051	0.4999	0.0162	
nsga5k2x	I0	29352	35	1	0.6709	0.5267	0.0135	
nsga5k2x	I0	29429	43	3	0.6515	0.5212	0.0131	
nsga5k2x	I0	29365	48	2	0.7471	0.5239	0.0108	
nsga5k2x	I0	29519	30	4	0.6524	0.5447	0.0116	
nsga5k2x	I0	29509	42	3	0.7512	0.5167	0.0144	
nsga5k2x	I0	29386	32	0	0.6425	0.4623	0.0206	
nsga5k2x	I0	29323	46	0	0.6529	0.4839	0.0133	
nsga5k2x	I0	29274	36	1	0.7300	0.5122	0.0144	
nsga5k2x	I0	29431	33	4	0.6378	0.5427	0.0122	
nsga5k2x	I0	29419	35	0	0.5689	0.5105	0.0132	
nsga5k2x	I0	29340	43	0	0.6658	0.4763	0.0168	
nsga5k2x	I0	29190	37	0	0.7538	0.5238	0.0173	
nsga5k2x	I0	29391	37	2	0.5848	0.5083	0.0131	
nsga5k2x	I1	173462	50	3	0.6305	0.4760	0.0083	
nsga5k2x	I1	173147	49	1	0.6132	0.4399	0.0111	
nsga5k2x	I1	172667	48	3	0.6560	0.4530	0.0148	
nsga5k2x	I1	172545	62	2	0.5823	0.4638	0.0076	
nsga5k2x	I1	172315	45	2	0.5649	0.4680	0.0085	
nsga5k2x	I1	173375	52	0	0.5798	0.4486	0.0098	
nsga5k2x	I1	172826	56	1	0.6471	0.4538	0.0110	
nsga5k2x	I1	173139	50	2	0.6395	0.4672	0.0089	
nsga5k2x	I1	172925	45	2	0.6328	0.4708	0.0085	
nsga5k2x	I1	171503	58	1	0.7682	0.4557	0.0109	
nsga5k2x	I1	171892	45	2	0.6188	0.4565	0.0109	
nsga5k2x	I1	171509	54	0	0.6321	0.4314	0.0112	
nsga5k2x	I1	173038	52	0	0.6059	0.4577	0.0090	
nsga5k2x	I1	172105	40	3	0.7172	0.4876	0.0113	
nsga5k2x	I1	171826	58	1	0.5854	0.4515	0.0091	
nsga5k2x	I1	171288	51	1	0.5362	0.4501	0.0084	
nsga5k2x	I1	171606	54	1	0.7052	0.4605	0.0087	
nsga5k2x	I1	171771	39	7	0.7026	0.4866	0.0118	
nsga5k2x	I1	172420	47	2	0.6490	0.4654	0.0099	
nsga5k2x	I1	171267	48	2	0.5975	0.4668	0.0084	
nsga5k2x	I1	171726	53	2	0.6640	0.4782	0.0084	
nsga5k2x	I1	171536	47	2	0.7112	0.4708	0.0119	
nsga5k2x	I1	171777	53	0	0.6383	0.4222	0.0147	
nsga5k2x	I1	172128	51	1	0.6689	0.4585	0.0112	
nsga5k2x	I1	171151	53	1	0.5974	0.4663	0.0122	
nsga5k2x	I1	171115	52	2	0.5567	0.4695	0.0099	
nsga5k2x	I1	170689	59	1	0.6479	0.4550	0.0095	
nsga5k2x	I1	171408	50	3	0.5975	0.4715	0.0082	
nsga5k2x	I1	171223	53	1	0.5932	0.4410	0.0100	
nsga5k2x	I1	171647	58	3	0.6221	0.4569	0.0088	
nsga5k2x	I1	170762	53	1	0.7533	0.4498	0.0097	
nsga5k2x	I1	171913	51	0	0.5965	0.4484	0.0115	
nsga5k2x	I1	171753	48	2	0.5390	0.4643	0.0088	
nsga5k2x	I1	170499	55	1	0.6826	0.4390	0.0122	
nsga5k2x	I1	170806	52	4	0.5755	0.4592	0.0083	
nsga5k2x	I1	171596	56	0	0.6147	0.4479	0.0096	
nsga5k2x	I1	171541	47	2	0.7119	0.4683	0.0103	
nsga5k2x	I1	171883	45	1	0.5983	0.4716	0.0108	
nsga5k2x	I1	171421	49	1	0.6042	0.4719	0.0092	
nsga5k2x	I1	171750	49	2	0.6054	0.4583	0.0096	
nsga5k2x	I1	171268	52	2	0.6054	0.4605	0.0089	
nsga5k2x	I1	171293	51	1	0.6200	0.4575	0.0115	
nsga5k2x	I1	171468	54	3	0.5850	0.4642	0.0089	
nsga5k2x	I1	170932	49	0	0.5880	0.4491	0.0101	
nsga5k2x	I1	171348	45	0	0.6089	0.4440	0.0116	
nsga5k2x	I1	171017	51	0	0.5889	0.4520	0.0098	
nsga5k2x	I1	171243	37	3	0.5948	0.4518	0.0104	
nsga5k2x	I1	171700	54	1	0.6559	0.4261	0.0133	
nsga5k2x	I1	171063	51	2	0.6740	0.4451	0.0113	
nsga5k2x	I1	171537	41	4	0.6268	0.4760	0.0113	
nsga5k2x	I2	196333	34	0	0.7420	0.3562	0.0348	
nsga5k2x	I2	197121	23	0	0.5412	0.3859	0.0270	
nsga5k2x	I2	196871	23	0	0.7002	0.3968	0.0341	
nsga5k2x	I2	197392	22	1	0.6842	0.4204	0.0239	
nsga5k2x	I2	197433	23	0	0.6991	0.4093	0.0349	
nsga5k2x	I2	197473	24	0	0.6587	0.4187	0.0212	
nsga5k2x	I2	197553	27	0	0.6477	0.3851	0.0279	
