config	inst	time	count	best	spr	hv	gd	invgd	eps	gspr	
nsga150k2x	ACAD	650500	80	0.0097	0.3739	0.4592	0.0023	0.0009	320.2243	0.3503	
nsga150k2x	ACAD	627004	80	0.0219	0.4095	0.4578	0.0036	0.0010	365.9394	0.3371	
nsga150k2x	ACAD	617980	80	0.0389	0.4555	0.4607	0.0042	0.0011	494.4131	0.3752	
nsga150k2x	ACAD	619652	80	0.0243	0.4464	0.4597	0.0021	0.0014	401.5202	0.4765	
nsga150k2x	ACAD	617435	80	0.0170	0.5060	0.4581	0.0034	0.0010	371.7860	0.4514	
nsga150k2x	ACAD	619548	80	0.0243	0.5506	0.4623	0.0039	0.0009	308.4764	0.4648	
nsga150k2x	ACAD	618409	80	0.0122	0.4034	0.4562	0.0030	0.0011	455.0182	0.3801	
nsga150k2x	ACAD	619757	80	0.0243	0.4442	0.4626	0.0024	0.0009	169.2972	0.3602	
nsga150k2x	ACAD	617767	80	0.0097	0.5013	0.4561	0.0052	0.0014	479.2749	0.4849	
nsga150k2x	ACAD	617032	80	0.0146	0.4076	0.4575	0.0032	0.0009	243.6847	0.3179	
nsga150k2x	ACAD	620988	80	0.0243	0.4296	0.4616	0.0023	0.0017	446.6930	0.4844	
nsga150k2x	ACAD	616400	80	0.0122	0.4266	0.4546	0.0036	0.0012	457.1890	0.4089	
nsga150k2x	ACAD	618142	80	0.0170	0.4335	0.4578	0.0033	0.0010	267.9440	0.3230	
nsga150k2x	ACAD	617840	80	0.0049	0.5249	0.4539	0.0067	0.0012	556.8324	0.4036	
nsga150k2x	ACAD	618230	80	0.0414	0.3988	0.4615	0.0027	0.0009	324.1295	0.3822	
nsga150k2x	ACAD	618219	80	0.0292	0.3931	0.4616	0.0023	0.0014	344.1955	0.4437	
nsga150k2x	ACAD	619944	80	0.0316	0.4303	0.4615	0.0023	0.0012	359.0138	0.4806	
nsga150k2x	ACAD	619075	80	0.0268	0.4586	0.4629	0.0024	0.0011	154.1572	0.5029	
nsga150k2x	ACAD	618435	80	0.0024	0.4590	0.4563	0.0035	0.0011	337.3858	0.4550	
nsga150k2x	ACAD	616867	80	0.0195	0.4362	0.4600	0.0036	0.0010	270.0645	0.4123	
nsga150k2x	ACAD	617466	80	0.0097	0.4094	0.4578	0.0029	0.0010	525.2445	0.3325	
nsga150k2x	ACAD	617155	79	0.0122	0.4591	0.4605	0.0026	0.0010	163.5764	0.4084	
nsga150k2x	ACAD	619987	80	0.0170	0.4617	0.4575	0.0046	0.0011	487.8690	0.4651	
nsga150k2x	ACAD	615274	80	0.0268	0.4128	0.4638	0.0023	0.0008	150.9623	0.3652	
nsga150k2x	ACAD	618901	80	0.0170	0.4576	0.4588	0.0032	0.0013	491.3110	0.4893	
nsga150k2x	ACAD	617951	80	0.0195	0.4627	0.4600	0.0046	0.0010	437.6079	0.3335	
nsga150k2x	ACAD	616720	80	0.0389	0.4066	0.4644	0.0023	0.0007	234.3361	0.3248	
nsga150k2x	ACAD	615871	80	0.0097	0.4403	0.4561	0.0039	0.0011	414.2294	0.3511	
nsga150k2x	ACAD	618513	80	0.0146	0.4368	0.4599	0.0030	0.0010	215.4692	0.3638	
nsga150k2x	ACAD	618325	80	0.0243	0.5142	0.4607	0.0030	0.0008	375.6859	0.5076	
nsga150k2x	ACAD	618054	80	0.0243	0.4668	0.4603	0.0033	0.0010	511.7317	0.3859	
nsga150k2x	ACAD	616703	80	0.0195	0.4694	0.4608	0.0037	0.0010	417.3046	0.4268	
nsga150k2x	ACAD	616704	80	0.0243	0.4339	0.4617	0.0021	0.0012	253.9069	0.4622	
nsga150k2x	ACAD	619656	80	0.0170	0.5623	0.4605	0.0056	0.0011	301.6293	0.5391	
nsga150k2x	ACAD	617500	80	0.0389	0.4217	0.4635	0.0022	0.0010	293.9236	0.4188	
nsga150k2x	ACAD	616618	80	0.0268	0.4614	0.4609	0.0025	0.0009	330.9119	0.3678	
nsga150k2x	ACAD	616024	80	0.0122	0.4271	0.4555	0.0039	0.0011	594.2017	0.3633	
nsga150k2x	ACAD	614552	80	0.0268	0.6034	0.4625	0.0047	0.0009	426.8552	0.3731	
nsga150k2x	ACAD	615687	80	0.0073	0.5229	0.4563	0.0027	0.0014	470.6282	0.4907	
nsga150k2x	ACAD	618402	79	0.0195	0.4567	0.4582	0.0028	0.0013	471.2940	0.4387	
nsga150k2x	ACAD	619032	80	0.0268	0.5130	0.4599	0.0040	0.0010	229.0823	0.4262	
nsga150k2x	ACAD	618968	80	0.0243	0.5456	0.4627	0.0052	0.0010	400.4115	0.4660	
nsga150k2x	ACAD	620203	80	0.0170	0.4314	0.4615	0.0026	0.0009	2.7000	0.3792	
nsga150k2x	ACAD	617268	80	0.0292	0.5089	0.4621	0.0025	0.0009	434.8234	0.4613	
nsga150k2x	ACAD	618879	80	0.0219	0.4718	0.4596	0.0032	0.0010	185.1743	0.4600	
nsga150k2x	ACAD	618109	80	0.0122	0.3930	0.4607	0.0028	0.0009	197.8243	0.3785	
nsga150k2x	ACAD	616917	80	0.0219	0.4739	0.4585	0.0046	0.0010	255.5927	0.3293	
nsga150k2x	ACAD	617454	80	0.0097	0.4203	0.4594	0.0025	0.0009	308.7490	0.3935	
nsga150k2x	ACAD	617470	80	0.0170	0.5077	0.4582	0.0040	0.0010	352.1152	0.3944	
nsga150k2x	ACAD	617651	80	0.0073	0.4355	0.4553	0.0030	0.0011	523.3798	0.3466	
nsga150k2x	OMET	3502684	168	0.0149	0.5650	0.5080	0.0017	0.0016	753.7462	0.5465	
nsga150k2x	OMET	3494039	168	0.0186	0.6767	0.4990	0.0025	0.0018	1436.6950	0.6333	
nsga150k2x	OMET	3488137	163	0.0112	0.5869	0.5046	0.0022	0.0015	1341.7896	0.5545	
nsga150k2x	OMET	3500689	148	0.0112	0.6489	0.5081	0.0020	0.0015	1146.2916	0.7131	
nsga150k2x	OMET	3503619	146	0.0149	0.6626	0.4993	0.0024	0.0021	1825.6928	0.6806	
nsga150k2x	OMET	3493227	160	0.0409	0.6242	0.5060	0.0019	0.0018	1725.8656	0.6617	
nsga150k2x	OMET	3499735	138	0.0335	0.6863	0.5140	0.0020	0.0015	12.3000	0.6882	
nsga150k2x	OMET	3494030	167	0.0037	0.5437	0.5036	0.0022	0.0016	1299.3727	0.5536	
nsga150k2x	OMET	3483744	161	0.0297	0.5961	0.5064	0.0022	0.0014	1289.0371	0.6046	
nsga150k2x	OMET	3495313	155	0.0409	0.5966	0.5143	0.0018	0.0012	587.7607	0.5836	
nsga150k2x	OMET	3490112	167	0.0037	0.5313	0.5038	0.0021	0.0015	607.9088	0.5157	
nsga150k2x	OMET	3487779	165	0.0149	0.6186	0.5064	0.0020	0.0015	722.7512	0.5508	
nsga150k2x	OMET	3607917	163	0.0186	0.6065	0.5085	0.0019	0.0015	532.6581	0.5932	
nsga150k2x	OMET	3642741	148	0.0186	0.5711	0.5088	0.0019	0.0014	999.8023	0.6003	
nsga150k2x	OMET	3630220	138	0.0372	0.5832	0.5138	0.0018	0.0012	506.8406	0.5537	
nsga150k2x	OMET	3650715	163	0.0112	0.6770	0.5070	0.0021	0.0014	1181.6543	0.6281	
nsga150k2x	OMET	3645041	168	0.0186	0.5844	0.5078	0.0020	0.0016	794.0146	0.5968	
nsga150k2x	OMET	3635288	168	0.0223	0.6389	0.5055	0.0019	0.0015	1380.9786	0.6448	
nsga150k2x	OMET	3629860	146	0.0223	0.5686	0.5036	0.0025	0.0017	1278.2958	0.5399	
nsga150k2x	OMET	3636461	163	0.0112	0.6526	0.5026	0.0024	0.0017	1664.8770	0.6391	
nsga150k2x	OMET	3631097	156	0.0112	0.7038	0.5053	0.0026	0.0015	587.7206	0.6267	
nsga150k2x	OMET	2418287	155	0.0149	0.6427	0.5079	0.0020	0.0016	828.2217	0.7353	
nsga150k2x	OMET	2337163	144	0.0409	0.6201	0.5132	0.0017	0.0017	1205.0737	0.6206	
nsga150k2x	OMET	2323514	163	0.0112	0.6342	0.5098	0.0019	0.0013	890.2700	0.6405	
nsga150k2x	OMET	2326231	138	0.0149	0.6148	0.5103	0.0021	0.0015	345.8806	0.5996	
nsga150k2x	OMET	2327111	161	0.0074	0.6409	0.5021	0.0021	0.0016	1670.4725	0.6114	
nsga150k2x	OMET	2330065	164	0.0260	0.6887	0.5063	0.0021	0.0016	971.1726	0.7120	
nsga150k2x	OMET	2327272	162	0.0372	0.6250	0.5121	0.0018	0.0013	376.8680	0.6229	
nsga150k2x	OMET	2327125	149	0.0297	0.6055	0.5092	0.0019	0.0021	992.2403	0.6825	
nsga150k2x	OMET	2331447	168	0.0335	0.6520	0.5088	0.0019	0.0013	441.9450	0.6858	
nsga150k2x	OMET	2338247	167	0.0483	0.6897	0.5109	0.0019	0.0020	802.7526	0.6860	
nsga150k2x	OMET	2337911	160	0.0223	0.6654	0.5082	0.0021	0.0016	718.9414	0.6840	
nsga150k2x	OMET	2326365	166	0.0186	0.6093	0.5042	0.0022	0.0016	1275.6134	0.6064	
nsga150k2x	OMET	2331943	162	0.0149	0.5729	0.5082	0.0021	0.0014	1077.3989	0.5981	
nsga150k2x	OMET	2338457	159	0.0149	0.6589	0.5052	0.0022	0.0016	1103.1650	0.6680	
nsga150k2x	OMET	2324590	156	0.0223	0.6236	0.5061	0.0021	0.0014	1140.7799	0.5233	
nsga150k2x	OMET	2326938	164	0.0260	0.6215	0.5060	0.0020	0.0015	902.7793	0.6067	
nsga150k2x	OMET	2330610	153	0.0186	0.6756	0.5073	0.0021	0.0021	1121.0961	0.7524	
nsga150k2x	OMET	2331092	168	0.0112	0.6109	0.5069	0.0020	0.0013	599.6820	0.6088	
nsga150k2x	OMET	2329479	162	0.0186	0.6280	0.5070	0.0019	0.0016	1180.8789	0.6688	
nsga150k2x	OMET	2334181	168	0.0149	0.5845	0.5082	0.0019	0.0016	468.9826	0.6031	
nsga150k2x	OMET	2335409	156	0.0112	0.6337	0.5077	0.0020	0.0014	1225.7044	0.6157	
nsga150k2x	OMET	2329881	159	0.0037	0.6391	0.5075	0.0018	0.0014	1117.6152	0.6905	
nsga150k2x	OMET	2336441	165	0.0223	0.6123	0.5078	0.0020	0.0015	1369.9489	0.6335	
nsga150k2x	OMET	2319312	164	0.0112	0.5987	0.5022	0.0021	0.0016	1441.1273	0.5439	
nsga150k2x	OMET	2328629	165	0.0186	0.5720	0.5103	0.0019	0.0014	729.0274	0.5735	
nsga150k2x	OMET	2334593	168	0.0149	0.6306	0.5058	0.0020	0.0015	1058.3314	0.5988	
nsga150k2x	OMET	2323551	155	0.0260	0.6438	0.5044	0.0023	0.0015	1375.0063	0.6108	
nsga150k2x	OMET	2331567	167	0.0149	0.5984	0.5070	0.0020	0.0017	744.4857	0.6155	
nsga150k2x	OMET	2326047	164	0.0223	0.6178	0.5084	0.0019	0.0013	885.2301	0.5602	
nsga150k2x	PARM	4264363	109	0.0128	0.6293	0.4943	0.0040	0.0030	422.7817	0.6543	
nsga150k2x	PARM	4236152	91	0.0256	0.7218	0.4933	0.0051	0.0038	1222.1519	0.6963	
nsga150k2x	PARM	4230046	102	0.0256	0.7205	0.4919	0.0055	0.0032	438.0230	0.7511	
nsga150k2x	PARM	4241271	103	0.0128	0.6791	0.4941	0.0044	0.0033	912.6155	0.6393	
nsga150k2x	PARM	4236035	101	0.0064	0.6921	0.4941	0.0045	0.0031	1145.7624	0.7168	
nsga150k2x	PARM	4232312	98	0.0128	0.7322	0.4933	0.0053	0.0035	857.8349	0.6740	
nsga150k2x	PARM	4225361	98	0.0256	0.6643	0.4976	0.0041	0.0032	1002.6434	0.6950	
nsga150k2x	PARM	4266111	104	0.0192	0.6327	0.4932	0.0046	0.0032	504.4392	0.6184	
nsga150k2x	PARM	4269992	94	0.0128	0.6274	0.4960	0.0041	0.0038	1062.6580	0.6840	
nsga150k2x	PARM	4280458	101	0.0128	0.6553	0.4870	0.0054	0.0034	1228.6606	0.6564	
nsga150k2x	PARM	4274155	110	0.0321	0.7134	0.4954	0.0046	0.0034	1051.2076	0.6912	
nsga150k2x	PARM	4269280	103	0.0256	0.7038	0.4968	0.0041	0.0031	1025.4528	0.7505	
nsga150k2x	PARM	4268393	106	0.0192	0.7031	0.4918	0.0053	0.0035	896.7980	0.6526	
nsga150k2x	PARM	4280495	99	0.0192	0.6654	0.4935	0.0048	0.0032	1230.6882	0.7011	
nsga150k2x	PARM	4268552	98	0.0128	0.7280	0.4942	0.0062	0.0032	897.7496	0.7364	
