config	inst	time	count	best	spr	hv	gd	invgd	eps	gspr	
nsga5k2x	ACAD	72217	58	0.0273	0.6679	0.4798	0.0095	0.0064	926.1592	0.6939	
nsga5k2x	ACAD	70633	49	0.0273	0.7128	0.5157	0.0081	0.0049	554.6400	0.8111	
nsga5k2x	ACAD	72793	47	0.0364	0.7069	0.5180	0.0091	0.0057	185.0103	0.8102	
nsga5k2x	ACAD	72616	46	0.0364	0.6650	0.5117	0.0073	0.0048	652.2618	0.7280	
nsga5k2x	ACAD	72059	43	0.0545	0.6775	0.5115	0.0067	0.0076	729.1366	0.8085	
nsga5k2x	ACAD	72412	63	0.0000	0.6920	0.4686	0.0104	0.0074	1365.9560	0.7992	
nsga5k2x	ACAD	73032	56	0.0182	0.6552	0.5096	0.0076	0.0056	346.3219	0.7436	
nsga5k2x	ACAD	72105	65	0.0000	0.6426	0.4769	0.0112	0.0068	1341.8149	0.5937	
nsga5k2x	ACAD	72346	57	0.0000	0.7377	0.4775	0.0099	0.0083	768.2501	0.8077	
nsga5k2x	ACAD	73140	43	0.0000	0.6752	0.4716	0.0131	0.0071	1219.5238	0.6351	
nsga5k2x	ACAD	72626	58	0.0273	0.6792	0.5066	0.0080	0.0075	350.3665	0.7297	
nsga5k2x	ACAD	72076	59	0.0000	0.6644	0.4767	0.0093	0.0076	944.6883	0.7380	
nsga5k2x	ACAD	72125	49	0.0909	0.6460	0.5334	0.0064	0.0071	6.8000	0.7570	
nsga5k2x	ACAD	71656	57	0.0182	0.7050	0.4828	0.0140	0.0084	1173.0412	0.6938	
nsga5k2x	ACAD	67392	45	0.0727	0.6048	0.5140	0.0074	0.0075	913.5282	0.6614	
nsga5k2x	ACAD	60069	51	0.0545	0.7178	0.5107	0.0070	0.0071	654.6487	0.8051	
nsga5k2x	ACAD	60114	53	0.0091	0.6421	0.4883	0.0086	0.0059	788.8081	0.6813	
nsga5k2x	ACAD	60370	73	0.0091	0.5767	0.4786	0.0079	0.0063	1222.5217	0.5655	
nsga5k2x	ACAD	59805	62	0.0273	0.7129	0.5069	0.0079	0.0071	545.2623	0.7151	
nsga5k2x	ACAD	60698	48	0.0000	0.6372	0.4968	0.0072	0.0072	626.9910	0.7479	
nsga5k2x	ACAD	60028	50	0.0000	0.8567	0.4859	0.0179	0.0063	918.1135	0.9063	
nsga5k2x	ACAD	60793	48	0.0273	0.6289	0.5065	0.0089	0.0068	870.2425	0.7446	
nsga5k2x	ACAD	59933	61	0.0091	0.6024	0.4897	0.0083	0.0056	967.4269	0.6667	
nsga5k2x	ACAD	60261	50	0.0273	0.5505	0.5038	0.0072	0.0061	793.6923	0.6583	
nsga5k2x	ACAD	60054	46	0.0182	0.6346	0.5039	0.0079	0.0054	730.2517	0.6762	
nsga5k2x	ACAD	60788	49	0.0182	0.7109	0.4950	0.0104	0.0060	907.0192	0.7442	
nsga5k2x	ACAD	60318	51	0.0273	0.6255	0.4945	0.0074	0.0075	1012.9835	0.7259	
nsga5k2x	ACAD	59942	55	0.0000	0.6022	0.4765	0.0095	0.0067	1206.3937	0.6635	
nsga5k2x	ACAD	60607	54	0.0364	0.6142	0.4947	0.0093	0.0067	888.4999	0.7000	
nsga5k2x	ACAD	59051	59	0.0182	0.6292	0.4895	0.0074	0.0059	973.1234	0.6920	
nsga5k2x	ACAD	57529	55	0.0000	0.6002	0.4719	0.0110	0.0071	1402.5911	0.6681	
nsga5k2x	ACAD	57824	63	0.0000	0.6095	0.4948	0.0075	0.0054	861.5923	0.6645	
nsga5k2x	ACAD	58172	52	0.0000	0.5982	0.4767	0.0119	0.0070	1211.2653	0.6741	
nsga5k2x	ACAD	57855	54	0.0455	0.6410	0.5078	0.0087	0.0059	935.3656	0.6346	
nsga5k2x	ACAD	57873	49	0.0455	0.6279	0.4945	0.0112	0.0061	741.5225	0.6953	
nsga5k2x	ACAD	58241	71	0.0273	0.5594	0.4905	0.0089	0.0061	556.5644	0.6262	
nsga5k2x	ACAD	57767	50	0.0455	0.7494	0.4951	0.0174	0.0064	1000.8684	0.7122	
nsga5k2x	ACAD	57889	53	0.0000	0.6239	0.4880	0.0090	0.0059	1012.9010	0.6681	
nsga5k2x	ACAD	57325	60	0.0182	0.6873	0.4877	0.0089	0.0065	849.7356	0.7623	
nsga5k2x	ACAD	58173	54	0.0091	0.7674	0.4869	0.0113	0.0061	770.0561	0.8475	
nsga5k2x	ACAD	57638	47	0.0091	0.6244	0.5046	0.0076	0.0077	623.3226	0.7328	
nsga5k2x	ACAD	57552	55	0.0182	0.6376	0.4856	0.0121	0.0065	1123.5195	0.5835	
nsga5k2x	ACAD	58083	52	0.0182	0.6428	0.5053	0.0086	0.0058	656.5184	0.7282	
nsga5k2x	ACAD	57747	58	0.0000	0.5697	0.4948	0.0089	0.0066	687.1347	0.6866	
nsga5k2x	ACAD	57680	65	0.0364	0.6312	0.4994	0.0082	0.0052	737.4573	0.6694	
nsga5k2x	ACAD	58097	63	0.0000	0.5950	0.4943	0.0092	0.0053	760.0259	0.5586	
nsga5k2x	ACAD	58268	52	0.0182	0.6517	0.5016	0.0082	0.0063	592.5294	0.7335	
nsga5k2x	ACAD	57899	53	0.0091	0.5954	0.4818	0.0106	0.0076	1015.0513	0.6811	
nsga5k2x	ACAD	57870	62	0.0000	0.6347	0.4745	0.0092	0.0071	1343.0528	0.6926	
nsga5k2x	ACAD	58271	56	0.0091	0.6643	0.4968	0.0081	0.0059	643.7498	0.8056	
nsga5k2x	OMET	337714	64	0.0308	0.5687	0.5235	0.0057	0.0040	442.7493	0.5935	
nsga5k2x	OMET	337071	67	0.0154	0.6052	0.5038	0.0074	0.0050	1629.6620	0.6349	
nsga5k2x	OMET	338750	56	0.0154	0.6177	0.5225	0.0063	0.0036	618.4144	0.5804	
nsga5k2x	OMET	337978	53	0.0154	0.7011	0.5193	0.0059	0.0044	1187.7212	0.8135	
nsga5k2x	OMET	337273	70	0.0308	0.6709	0.5160	0.0063	0.0045	1035.7470	0.6996	
nsga5k2x	OMET	338325	65	0.0077	0.6593	0.5081	0.0062	0.0047	1125.1263	0.7495	
nsga5k2x	OMET	337762	62	0.0231	0.6338	0.5066	0.0066	0.0043	2019.4975	0.6752	
nsga5k2x	OMET	338127	75	0.0308	0.6608	0.5106	0.0060	0.0042	1035.7451	0.6757	
nsga5k2x	OMET	337832	60	0.0308	0.7519	0.5113	0.0074	0.0052	1398.9128	0.8320	
nsga5k2x	OMET	338292	84	0.0231	0.6398	0.5065	0.0059	0.0042	657.0137	0.6648	
nsga5k2x	OMET	337103	61	0.0385	0.6640	0.5118	0.0064	0.0045	1009.0472	0.7472	
nsga5k2x	OMET	360391	68	0.0154	0.7234	0.5009	0.0067	0.0073	2037.3165	0.7888	
nsga5k2x	OMET	376782	55	0.0385	0.6619	0.5277	0.0066	0.0039	720.7644	0.6902	
nsga5k2x	OMET	347327	58	0.0385	0.6528	0.5022	0.0077	0.0059	1738.6494	0.6852	
nsga5k2x	OMET	348221	64	0.0154	0.6796	0.5100	0.0075	0.0063	1458.8400	0.7165	
nsga5k2x	OMET	333633	72	0.0385	0.6321	0.5244	0.0054	0.0036	420.8489	0.6145	
nsga5k2x	OMET	332008	71	0.0385	0.6759	0.5087	0.0054	0.0051	1279.5443	0.6378	
nsga5k2x	OMET	335305	71	0.0154	0.7026	0.5116	0.0056	0.0042	1383.9296	0.7204	
nsga5k2x	OMET	333323	61	0.0077	0.6482	0.5083	0.0068	0.0059	1867.8607	0.7512	
nsga5k2x	OMET	332397	68	0.0077	0.6590	0.5073	0.0066	0.0041	1536.4041	0.6899	
nsga5k2x	OMET	332720	77	0.0000	0.5482	0.5026	0.0062	0.0043	1329.5347	0.5708	
nsga5k2x	OMET	308240	59	0.0231	0.7430	0.5242	0.0063	0.0062	721.8676	0.7870	
nsga5k2x	OMET	244571	67	0.0077	0.5856	0.5137	0.0051	0.0044	924.9343	0.6606	
nsga5k2x	OMET	243509	73	0.0231	0.7176	0.5137	0.0057	0.0043	1200.2276	0.7483	
nsga5k2x	OMET	241165	68	0.0154	0.7607	0.5114	0.0080	0.0051	244.7954	0.7849	
nsga5k2x	OMET	241184	75	0.0000	0.6413	0.4840	0.0070	0.0061	2635.1655	0.7131	
nsga5k2x	OMET	242112	66	0.0231	0.5497	0.5049	0.0074	0.0044	1289.1161	0.5526	
