config	inst	time	count	rfsz	best	spr	hv	gd	
nsga150k2x	I0	650500	80	411	0.0097	0.3739	0.4592	0.0023	
nsga150k2x	I0	627004	80	411	0.0219	0.4095	0.4578	0.0036	
nsga150k2x	I0	617980	80	411	0.0389	0.4555	0.4607	0.0042	
nsga150k2x	I0	619652	80	411	0.0243	0.4464	0.4597	0.0021	
nsga150k2x	I0	617435	80	411	0.0170	0.5060	0.4581	0.0034	
nsga150k2x	I0	619548	80	411	0.0243	0.5506	0.4623	0.0039	
nsga150k2x	I0	618409	80	411	0.0122	0.4034	0.4562	0.0030	
nsga150k2x	I0	619757	80	411	0.0243	0.4442	0.4626	0.0024	
nsga150k2x	I0	617767	80	411	0.0097	0.5013	0.4561	0.0052	
nsga150k2x	I0	617032	80	411	0.0146	0.4076	0.4575	0.0032	
nsga150k2x	I0	620988	80	411	0.0243	0.4296	0.4616	0.0023	
nsga150k2x	I0	616400	80	411	0.0122	0.4266	0.4546	0.0036	
nsga150k2x	I0	618142	80	411	0.0170	0.4335	0.4578	0.0033	
nsga150k2x	I0	617840	80	411	0.0049	0.5249	0.4539	0.0067	
nsga150k2x	I0	618230	80	411	0.0414	0.3988	0.4615	0.0027	
nsga150k2x	I0	618219	80	411	0.0292	0.3931	0.4616	0.0023	
nsga150k2x	I0	619944	80	411	0.0316	0.4303	0.4615	0.0023	
nsga150k2x	I0	619075	80	411	0.0268	0.4586	0.4629	0.0024	
nsga150k2x	I0	618435	80	411	0.0024	0.4590	0.4563	0.0035	
nsga150k2x	I0	616867	80	411	0.0195	0.4362	0.4600	0.0036	
nsga150k2x	I0	617466	80	411	0.0097	0.4094	0.4578	0.0029	
nsga150k2x	I0	617155	79	411	0.0122	0.4591	0.4605	0.0026	
nsga150k2x	I0	619987	80	411	0.0170	0.4617	0.4575	0.0046	
nsga150k2x	I0	615274	80	411	0.0268	0.4128	0.4638	0.0023	
nsga150k2x	I0	618901	80	411	0.0170	0.4576	0.4588	0.0032	
nsga150k2x	I0	617951	80	411	0.0195	0.4627	0.4600	0.0046	
nsga150k2x	I0	616720	80	411	0.0389	0.4066	0.4644	0.0023	
nsga150k2x	I0	615871	80	411	0.0097	0.4403	0.4561	0.0039	
nsga150k2x	I0	618513	80	411	0.0146	0.4368	0.4599	0.0030	
nsga150k2x	I0	618325	80	411	0.0243	0.5142	0.4607	0.0030	
nsga150k2x	I0	618054	80	411	0.0243	0.4668	0.4603	0.0033	
nsga150k2x	I0	616703	80	411	0.0195	0.4694	0.4608	0.0037	
nsga150k2x	I0	616704	80	411	0.0243	0.4339	0.4617	0.0021	
nsga150k2x	I0	619656	80	411	0.0170	0.5623	0.4605	0.0056	
nsga150k2x	I0	617500	80	411	0.0389	0.4217	0.4635	0.0022	
nsga150k2x	I0	616618	80	411	0.0268	0.4614	0.4609	0.0025	
nsga150k2x	I0	616024	80	411	0.0122	0.4271	0.4555	0.0039	
nsga150k2x	I0	614552	80	411	0.0268	0.6034	0.4625	0.0047	
nsga150k2x	I0	615687	80	411	0.0073	0.5229	0.4563	0.0027	
nsga150k2x	I0	618402	79	411	0.0195	0.4567	0.4582	0.0028	
nsga150k2x	I0	619032	80	411	0.0268	0.5130	0.4599	0.0040	
nsga150k2x	I0	618968	80	411	0.0243	0.5456	0.4627	0.0052	
nsga150k2x	I0	620203	80	411	0.0170	0.4314	0.4615	0.0026	
nsga150k2x	I0	617268	80	411	0.0292	0.5089	0.4621	0.0025	
nsga150k2x	I0	618879	80	411	0.0219	0.4718	0.4596	0.0032	
nsga150k2x	I0	618109	80	411	0.0122	0.3930	0.4607	0.0028	
nsga150k2x	I0	616917	80	411	0.0219	0.4739	0.4585	0.0046	
nsga150k2x	I0	617454	80	411	0.0097	0.4203	0.4594	0.0025	
nsga150k2x	I0	617470	80	411	0.0170	0.5077	0.4582	0.0040	
