inst	noh	mks	cst
I0	0	171.5	82325.7938
I0	2.8129	168.6	82595.9979
I1	0	479.3	230084.6783
I1	20.7589	458.5	232077.5668
I1	39.7032	448.7	238252.5797
I1	57.719	447.4	248013.9026
I1	89.3058	435	260689.154
I2	0	425.1	204094.4371
I2	5.356	419.8	204610.295
I3	0	646.5	310366.3487
I3	12.0973	634.5	311529.1714
I4	0	287.6	138050.8273
I4	9.8061	277.7	138992.2149
I4	18.5425	273.6	142049.6804
I4	39.9053	270.4	152979.0533
I5	0	169.8	81525.6719
I5	6.5596	163.2	82155.8013
I5	12.482	160.3	84149.4685
I5	17.9794	160.2	87296.4992
I5	27.5344	156.9	91338.3577
