inst	noh	mks	cst
I0	0	171.5	82325.7938
I0	10.0889	161.4	83294.3325
I0	19.6862	157.4	86934.047
I0	47.6514	152.4	100868.419
I1	0	479.3	230084.6783
I1	28.1964	451.1	232789.3083
I1	54.5244	436.1	240779.6173
I1	80.8216	431	253456.5042
I1	107.2741	429	267756.1802
I1	127.7076	408.6	270331.4286
I1	201.7296	403.4	312277.4058
I2	0	425.1	204094.4371
I2	25.0118	400.1	206497.6341
I2	48.7695	390.1	215365.9587
I2	117.7461	376.7	249244.9664
I3	0	646.5	310366.3487
I3	38.0353	608.5	314019.216
I3	75.9297	607.4	335305.5066
I4	0	287.6	138050.8273
I4	16.918	270.6	139674.9547
I4	32.715	261.7	144469.631
I4	48.493	258.6	152074.0852
I4	64.3646	257.4	160654.1062
I4	76.6245	245.1	162198.6748
I4	121.0378	242	187366.4435
I5	0	169.8	81525.6719
I5	9.9909	159.8	82485.2095
I5	19.3199	154.5	85316.7112
I5	28.6376	152.7	89807.5306
I5	38.0106	152	94874.4721
I5	45.2506	144.8	95786.5443
I5	71.479	142.9	110649.4745
