inst	noh	mks	cst
I0	49.3249	122.1	87517.3563
I0	49.3357	122.1	87514.5046
I0	3.0995	168.4	82627.0034
I0	7.9114	163.5	83110.8704
I0	6.5432	164.9	82961.075
I0	16.6141	154.8	83975.3272
I0	48.1372	123.3	87375.7985
I0	24.9875	146.5	84793.6391
I0	22.4426	149	84520.9016
I0	25.5693	145.9	84877.1078
I0	31.7742	139.7	85509.9296
I0	18.8142	152.6	84146.3982
I0	23.077	148.4	84590.7762
I0	10.5218	160.9	83363.9771
I0	35.4133	136	85951.1743
I0	38.8295	132.6	86310.9086
I0	19.6325	151.8	84292.63
I0	46.8145	124.6	87230.0758
I0	42.4147	129	86760.861
I0	28.1121	143.3	85094.2769
I0	42.4622	129	86714.2595
I0	12.3493	159.1	83541.8235
I0	6.2245	165.2	82933.7978
I0	38.0707	133.4	86220.0785
I0	44.3225	127.1	86944.918
I0	39.7212	131.7	86388.875
I0	2.2155	169.2	82546.6164
I0	49.6235	121.8	87563.5616
I0	41.5159	129.9	86622.5436
I0	2.9626	168.5	82612.5577
I0	46.1612	125.3	87126.7274
I0	4.8124	166.6	82794.343
I0	4.0415	167.4	82724.6855
I0	35.0089	136.5	85841.8719
I0	36.1479	135.3	86027.8198
I0	31.9281	139.5	85533.4693
I0	3.6171	167.8	82678.7728
I0	38.6583	132.8	86301.3362
I0	42.1194	129.3	86692.8651
I0	39.1605	132.3	86343.816
I0	13.8727	157.6	83682.9783
I0	48.4142	123	87410.4632
I0	33.4164	138	85665.4394
I0	29.7691	141.7	85217.0271
I0	5.3234	166.1	82844.0779
I0	38.1362	133.3	86232.1751
I0	25.3505	146.1	84860.9532
I0	45.5266	125.9	87066.9934
I0	47.9336	123.5	87358.0828
I0	14.3793	157.1	83740.4618
I0	17.929	153.5	84076.6705
I0	42.4246	129	86758.707
I0	4.2195	167.2	82734.4772
I0	51.7628	119.7	87833.8826
I0	43.608	127.8	86899.2094
I0	41.848	129.6	86632.1118
I0	6.7183	164.7	82973.4795
I0	41.6135	129.8	86664.3296
I0	19.2163	152.2	84263.2394
I0	26.5631	144.9	84971.2554
I0	29.8466	141.6	85288.1448
I0	18.6149	152.8	84136.0228
I0	14.1305	157.3	83740.5984
I0	13.6232	157.8	83643.6693
I0	32.1211	139.3	85523.9026
I0	9.917	161.5	83298.7691
I0	45.0633	126.4	87003.3835
I0	51.0146	120.4	87742.7551
I0	15.6305	155.8	83853.8323
I0	46.7353	124.7	87205.1264
I0	33.514	137.9	85766.4803
I0	40.8482	130.6	86520.0789
I0	30.7135	140.7	85421.2294
I0	23.7274	147.7	84675.0918
I0	48.7251	122.7	87501.732
I0	22.9042	148.6	84575.9955
I0	30.3187	141.1	85393.6597
I0	5.0799	166.4	82816.776
I0	5.086	166.4	82816.4385
I0	16.5143	154.9	83950.4664
I0	13.2325	158.2	83640.8791
I0	41.4484	130	86568.2249
I0	6.31	165.1	82938.065
I0	30.1328	141.3	85349.9455
I0	10.0332	161.4	83313.1042
I0	7.2184	164.2	83021.1074
I0	18.9941	152.5	84186.8396
I0	35.8164	135.6	85932.8891
I0	12.2513	159.2	83525.4246
I0	7.9197	163.5	83101.4224
I0	11.3094	160.1	83446.6491
I0	37.9215	133.5	86222.2327
I0	45.2123	126.2	87056.705
I0	13.6134	157.8	83685.5811
I0	10.119	161.3	83323.3761
I0	6.0216	165.4	82905.9621
I0	29.4123	142	85279.5899
I0	36.513	134.9	86054.9939
I0	11.8187	159.6	83478.0832
I0	46.7363	124.7	87199.9793
I0	16.0717	155.4	83905.6741
I0	39.8489	131.6	86398.6002
I0	50.45	121	87664.531
I0	25.4999	146	84814.1369
I0	31.8394	139.6	85521.7428
I0	6.5123	164.9	82980.5299
I0	42.5335	128.9	86728.6004
I0	45.3296	126.1	87043.8867
I0	8.4471	163	83170.8199
I0	5.6261	165.8	82869.3929
I0	26.2853	145.2	84852.1584
I0	50.1128	121.3	87632.9993
I0	29.4514	142	85239.4593
I0	11.721	159.7	83478.5631
I0	30.3319	141.1	85349.8248
I0	13.3137	158.1	83661.7532
I0	14.0213	157.4	83695.6185
I0	26.7456	144.7	84929.6661
I0	39.5482	131.9	86423.8773
I0	12.3663	159.1	83533.7477
I0	12.9643	158.5	83601.8975
I0	24.5534	146.9	84723.5579
I0	51.4604	120	87785.8355
I0	11.3828	160.1	83432.9947
I0	10.3308	161.1	83346.4703
I0	7.926	163.5	83096.3816
I0	33.3253	138.1	85683.3414
I0	45.8122	125.6	87155.1308
I0	34.3426	137.1	85732.1232
I0	20.9938	150.5	84373.9232
I0	41.1172	130.3	86571.8752
I0	28.7153	142.7	85177.1361
I0	50.4459	121	87670.791
I0	29.9335	141.5	85249.9647
I0	26.5874	144.9	84910.9189
I0	28.5266	142.9	85099.6732
I0	34.7129	136.7	85806.6069
I0	24.9404	146.5	84813.3703
I0	16.3288	155.1	83930.6077
I0	12.1122	159.3	83525.174
I0	29.2619	142.2	85254.3889
I0	4.1174	167.3	82727.7644
I0	7.5124	163.9	83068.1805
I0	44.6385	126.8	86967.3969
I0	25.7404	145.7	84826.861
I0	13.2445	158.2	83636.383
I0	16.7149	154.7	83982.9448
I0	22.5328	148.9	84570.2951
I0	34.5184	136.9	85820.2392
I0	20.8201	150.6	84400.2223
I0	46.4328	125	87184.3389
I0	35.5106	136	85871.1254
I0	24.1121	147.3	84708.2364
I0	39.4391	132	86390.2702
I0	21.2374	150.2	84455.1147
I0	39.9126	131.5	86479.6583
I0	24.9092	146.6	84739.8617
I0	12.0136	159.4	83525.3925
I0	44.0816	127.4	86910.6362
I0	31.8288	139.6	85522.2217
I0	4.4164	167	82752.6129
I0	20.5428	150.9	84333.1217
I0	11.5371	159.9	83454.8912
I0	39.5519	131.9	86380.4058
I0	9.525	161.9	83256.1739
I0	12.4265	159	83541.4837
I0	44.4232	127	86955.3509
I0	9.0605	162.4	83200.6246
I0	49.9269	121.5	87596.3563
I0	43.0363	128.4	86801.4933
I0	32.1613	139.3	85501.7979
I0	3.9802	167.5	82709.8115
I0	44.9189	126.5	87035.4671
I0	32.6078	138.8	85557.7899
I0	12.6155	158.8	83586.3532
I0	34.8383	136.6	85792.5994
I0	13.7461	157.7	83707.5163
I0	30.6885	140.8	85356.5017
I0	29.3143	142.1	85212.7785
I0	14.2174	157.2	83737.7898
I0	17.0132	154.4	84051.9004
