inst	noh	mks	cst
I0	26.1805	137.6	81320.1382
I0	26.4471	137.4	81377.2885
I0	6.1062	155.8	78335.7814
I0	7.6605	153.7	78240.8236
I0	9.2265	152.2	78449.1647
I0	13.3021	148.6	79106.6108
I0	14.38	147.4	79074.9179
I0	28.6615	136.2	82070.2619
I0	16.6584	145.3	79392.0597
I0	11.9467	149.3	78595.851
I0	37.2065	132.1	85102.8044
I0	32.7607	133.6	83272.6597
I0	35.5872	132.5	84376.9238
I0	27.1622	137	81618.3073
I0	30.4816	135	82591.7282
I0	27.5186	136.4	81546.9373
I0	26.7415	137.2	81482.0027
I0	15.463	146.7	79380.1096
I0	21.663	141	80307.2265
I0	25.7185	137.7	81138.375
I0	20.0878	142.6	80149.9705
I0	24.5725	138.9	80965.0895
I0	25.4605	138	81061.5298
I0	24.4024	139.2	81064.2113
I0	9.3764	151.9	78326.1358
I0	10.8544	150.7	78624.4907
I0	14.0918	147.9	79206.0391
I0	8.1171	153.5	78413.4887
I0	17.4756	144.1	79376.2698
I0	17.419	144.8	79602.4356
I0	10.4669	151.1	78609.3083
I0	29.8664	135.3	82398.905
I0	19.2544	142.9	79822.6336
I0	3.8663	157.5	77871.6436
I0	6.1943	155.2	78109.942
I0	5.4118	156	78046.1724
I0	9.9672	151.4	78462.9862
I0	20.9618	141.9	80313.0957
I0	2.6029	159.8	78246.5545
I0	33.7237	133.4	83732.7795
I0	13.8359	148.1	79100.7559
I0	9.1959	152.7	78657.9665
I0	30.7863	134.7	82611.2193
I0	31.6164	134.3	82900.7611
I0	15.5814	146.5	79373.8173
I0	18.9762	143.5	79890.4883
I0	15.9407	146.1	79394.0825
I0	5.1117	156.3	78022.0566
I0	7.6166	154.2	78426.8151
I0	16.4867	145.9	79588.7008
I0	16.1804	146	79446.9117
I0	4.66	156.5	77833.2295
I0	5.7388	155.9	78154.7363
I0	7.3673	154.3	78359.5776
I0	15.1832	146.8	79275.6045
I0	10.5343	151	78579.5493
I0	14.9596	147	79317.3244
I0	34.7245	133	84117.3171
I0	11.8592	150.1	78964.8229
I0	38.3263	131.5	85486.6752
I0	19.4076	142.8	79841.5108
I0	38.5592	131.3	85513.8988
I0	0.7242	160.8	77632.0894
I0	2.884	159.2	78125.929
I0	22.8558	139.6	80323.5968
I0	1.8242	160.4	78050.0331
I0	31.7438	134.2	82938.5742
I0	19.7771	142.7	80019.7359
I0	30.4597	134.9	82601.1363
I0	39.2918	130.7	85695.3152
I0	36.6363	132.2	84824.6291
I0	21.2432	141.5	80339.2952
I0	30.3804	135.2	82621.2135
I0	3.1626	159	78149.64
I0	28.7535	135.5	81823.4068
I0	16.6123	145.5	79538.7071
I0	42.4585	130.5	87437.4875
I0	13.9358	148	79081.6297
I0	22.5966	140.7	80679.893
I0	6.7505	154.4	78046.736
I0	12.1547	149.1	78593.8294
I0	21.4265	141.2	80283.7801
I0	21.061	141.8	80347.6401
I0	20.4284	142.2	80159.8359
I0	6.1174	155.3	78093.7722
I0	6.4533	154.7	78042.3395
I0	24.4149	139	80967.5447
I0	11.2195	150.3	78706.5969
I0	22.1795	140.8	80538.1804
I0	18.2246	143.7	79590.8403
I0	13.3384	148.5	79027.0507
I0	23.4761	139.3	80562.4799
I0	20.1017	142.5	80153.6908
I0	20.6635	142.1	80221.921
I0	4.6267	157.4	78238.1929
I0	2.1793	160.2	78192.3603
I0	8.6383	153.2	78547.2404
I0	20.2911	142.4	80159.9518
I0	16.9697	145	79489.4242
I0	38.0797	131.7	85456.0203
I0	3.4301	158.3	77967.0824
I0	31.8595	134.1	82916.943
I0	32.3504	133.8	83058.1122
