inst	noh	mks	cst
I0	0	171.5	82325.7938
I0	8.9726	162.5	83187.3292
I0	17.1174	155.9	84700.0992
I0	24.7575	151	86749.1072
I0	31.9681	146.8	88901.7248
I0	38.0578	140.7	89670.3478
I0	44.5902	137.8	92225.5734
I0	51.0576	135.6	95061.3145
I0	55.9202	130.8	95674.0055
I1	0	479.3	230084.6783
I1	24.3648	454.9	232423.5343
I1	46.4524	436.7	236401.5551
I1	67.1111	423	241728.1325
I1	86.5552	411.3	247309.5953
I1	103.0419	394.8	249386.9181
I1	120.5624	386.6	255996.0982
I1	137.8385	380.2	263309.1098
I1	150.966	367	264963.1722
I2	0	425.1	204094.4371
I2	22.1937	403	206226.1091
I2	42.3378	386.6	209958.7156
I2	61.2291	374.4	215009.5657
I2	79.0561	364.1	220319.0082
I2	94.1144	349	222216.3537
I2	110.2566	341.9	228513.3673
I2	126.2334	336.4	235500.0575
I2	138.2555	324.4	237014.6641
I3	0	646.5	310366.3487
I3	36.2971	610.2	313850.2009
I3	69.3481	584.3	320422.1325
I3	100.5594	565.8	329535.22
I3	130.2071	550.3	339177.8454
I3	155.0084	525.5	342302.8157
I3	182.1891	515.3	353781.3639
I3	209.3419	508	366592.835
I3	229.2831	488.1	369111.1339
I4	0	287.6	138050.8273
I4	14.6189	272.9	139454.2409
I4	27.8714	262	141840.933
I4	40.2666	253.8	145036.8795
I4	51.9331	246.8	148385.7572
I4	61.8252	236.9	149632.1523
I4	72.3376	231.9	153597.9625
I4	82.7027	228.1	157984.6801
I4	90.5796	220.2	158977.9033
I5	0	169.8	81525.6719
I5	8.6332	161.2	82354.8667
I5	16.4595	154.7	83764.3305
I5	23.7795	149.9	85651.7005
I5	30.6691	145.7	87629.2674
I5	36.5108	139.9	88365.275
I5	42.719	136.9	90707.2649
I5	48.8404	134.7	93298.5035
I5	53.4919	130	93884.5886
